row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động chính,Tỷ lệ % sở hữu của Ngân hàng,Tỷ lệ % sở hữu của Ngân hàng_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực hoạt động chính,numeric__Tỷ lệ % sở hữu của Ngân hàng,numeric__Tỷ lệ % sở hữu của Ngân hàng_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động chính,31/12/2024,31/12/2023,,,,
Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản Ngân hàng Thương mại Cổ phần An Bình (“ABBA”),Tên công ty > Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản Ngân hàng Thương mại Cổ phần An Bình (“ABBA”),Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản Ngân hàng Thương mại Cổ phần An Bình (“ABBA”),Giấy phép Kinh doanh số 01040009199 do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp lần đầu ngày 18 tháng 1 năm 2010,Quản lý tài sản,100%,100%,,,1.0,1.0
Công ty TNHH MTV Dịch vụ Bảo vệ ABBA (“ABBAS”) (*),Tên công ty > Công ty TNHH MTV Dịch vụ Bảo vệ ABBA (“ABBAS”) (*),Công ty TNHH MTV Dịch vụ Bảo vệ ABBA (“ABBAS”) (*),Giấy phép Kinh doanh số 0106112803 do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp lần đầu ngày 27 tháng 2 năm 2013,Dịch vụ báo vệ,100%,100%,,,1.0,1.0
