row_label_raw,row_label_full,col_0,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,
Lãi phải trả tiền gửi bằng VND,"Các khoản lãi, phí phải trả > Lãi phải trả tiền gửi bằng VND",Lãi phải trả tiền gửi bằng VND,799.995,796.441,799995.0,796441.0
Lãi phải trả tiền gửi tiết kiệm bằng VND,"Các khoản lãi, phí phải trả > Lãi phải trả tiền gửi tiết kiệm bằng VND",Lãi phải trả tiền gửi tiết kiệm bằng VND,558.472,1.765.922,558472.0,1765922.0
Lãi phải trả phát hành giấy tờ có giá bằng VND,"Các khoản lãi, phí phải trả > Lãi phải trả phát hành giấy tờ có giá bằng VND",Lãi phải trả phát hành giấy tờ có giá bằng VND,267.121,340.981,267121.0,340981.0
Lãi phải trả từ giao dịch hoán đổi,"Các khoản lãi, phí phải trả > Lãi phải trả từ giao dịch hoán đổi",Lãi phải trả từ giao dịch hoán đổi,27.055,165.751,27055.0,165751.0
Lãi phải trả tiền gửi bằng ngoại tệ,"Các khoản lãi, phí phải trả > Lãi phải trả tiền gửi bằng ngoại tệ",Lãi phải trả tiền gửi bằng ngoại tệ,41.905,16.623,41905.0,16623.0
Lãi phải trả từ giao dịch kỳ hạn,"Các khoản lãi, phí phải trả > Lãi phải trả từ giao dịch kỳ hạn",Lãi phải trả từ giao dịch kỳ hạn,26.810,35.739,26810.0,35739.0
Lãi phải trả cho tiền vay bằng VND,"Các khoản lãi, phí phải trả > Lãi phải trả cho tiền vay bằng VND",Lãi phải trả cho tiền vay bằng VND,11.022,14.204,11022.0,14204.0
Lãi phải trả cho tiền vay bằng ngoại tệ,"Các khoản lãi, phí phải trả > Lãi phải trả cho tiền vay bằng ngoại tệ",Lãi phải trả cho tiền vay bằng ngoại tệ,1.721,3.463,1721.0,3463.0
"Lãi phải trả cho vốn tài trợ, ủy thác đầu tư bằng VND","Các khoản lãi, phí phải trả > Lãi phải trả cho vốn tài trợ, ủy thác đầu tư bằng VND","Lãi phải trả cho vốn tài trợ, ủy thác đầu tư bằng VND",1,6,1.0,6.0
Lãi phải trả cho khoản nhận cấp tín dụng khác bằng VND,"Các khoản lãi, phí phải trả > Lãi phải trả cho khoản nhận cấp tín dụng khác bằng VND",Lãi phải trả cho khoản nhận cấp tín dụng khác bằng VND,1.921,-,1921.0,
,,,1.736.023,3.139.130,1736023.0,3139130.0
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,,
Các khoản phải trả nhân viên,Các khoản phải trả nội bộ > Các khoản phải trả nhân viên,Các khoản phải trả nhân viên,51.847,51.636,51847.0,51636.0
"Quỹ khen thưởng, phúc lợi (i)","Các khoản phải trả nội bộ > Quỹ khen thưởng, phúc lợi (i)","Quỹ khen thưởng, phúc lợi (i)",36.382,16.236,36382.0,16236.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,,
Các khoản chờ thanh toán,Các khoản phải trả bên ngoài > Các khoản chờ thanh toán,Các khoản chờ thanh toán,461.142,283.535,461142.0,283535.0
Các khoản phải trả khách hàng và nhà cung cấp,Các khoản phải trả bên ngoài > Các khoản phải trả khách hàng và nhà cung cấp,Các khoản phải trả khách hàng và nhà cung cấp,165.121,35.285,165121.0,35285.0
Thanh toán giữa các tổ chức tín dụng,Các khoản phải trả bên ngoài > Thanh toán giữa các tổ chức tín dụng,Thanh toán giữa các tổ chức tín dụng,99.751,-,99751.0,
Thuế và các khoản phải nộp Nhà nước (Thuyết minh 24),Các khoản phải trả bên ngoài > Thuế và các khoản phải nộp Nhà nước (Thuyết minh 24),Thuế và các khoản phải nộp Nhà nước (Thuyết minh 24),63.068,7.183,63068.0,7183.0
Tiền thu được từ các khoản nợ đã bán,Các khoản phải trả bên ngoài > Tiền thu được từ các khoản nợ đã bán,Tiền thu được từ các khoản nợ đã bán,41.113,90.759,41113.0,90759.0
Doanh thu chờ phân bổ,Các khoản phải trả bên ngoài > Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,6.045,9.660,6045.0,9660.0
Cổ tức phải trả,Các khoản phải trả bên ngoài > Cổ tức phải trả,Cổ tức phải trả,724,724,724.0,724.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,,
"Thừa quỹ, tài sản thừa chờ xử lý","Các khoản phải trả khác > Thừa quỹ, tài sản thừa chờ xử lý","Thừa quỹ, tài sản thừa chờ xử lý",1.259,1.108,1259.0,1108.0
Các khoản phải trả khác,Các khoản phải trả khác > Các khoản phải trả khác,Các khoản phải trả khác,5.854,5.247,5854.0,5247.0
,,,932.306,501.373,932306.0,501373.0
,,,2.668.329,3.640.503,2668329.0,3640503.0
