row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2024 Triệu VND,2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2024 Triệu VND,numeric__2023 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,26,8.989.882,10.415.740,,26.0,8989882.0,10415740.0
2,2,2,Chi phí lãi và các chi phí tương tự,26,(5.992.560),(7.706.657),,26.0,-5992560.0,-7706657.0
I,I,I,Thu nhập lãi thuần,26,2.997.322,2.709.083,,26.0,2997322.0,2709083.0
3,3,3,Thu nhập từ hoạt động dịch vụ,27,849.253,1.596.569,,27.0,849253.0,1596569.0
4,4,4,Chi phí hoạt động dịch vụ,27,(320.789),(832.946),,27.0,-320789.0,-832946.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,27,528.464,763.623,,27.0,528464.0,763623.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,245.756,228.453,,28.0,245756.0,228453.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,29,588,3.760,,29.0,588.0,3760.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,30,109.475,117.442,,30.0,109475.0,117442.0
5,5,5,Thu nhập từ hoạt động khác,31,650.071,413.791,,31.0,650071.0,413791.0
6,6,6,Chi phí hoạt động khác,31,(31.142),(25.889),,31.0,-31142.0,-25889.0
VI,VI,VI,Lãi thuần từ hoạt động khác,31,618.929,387.902,,31.0,618929.0,387902.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",32,80.635,102.583,,32.0,80635.0,102583.0
VIII,VIII,VIII,Chi phí hoạt động,33,(2.390.830),(2.300.210),,33.0,-2390830.0,-2300210.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,,2.190.339,2.012.636,,,2190339.0,2012636.0
X,X,X,Chi phí dự phòng rủi ro tin dụng,34,(1.411.791),(1.499.348),,34.0,-1411791.0,-1499348.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,778.548,513.288,,,778548.0,513288.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,35,(162.381),(115.060),,35.0,-162381.0,-115060.0
8,8,8,Lợi ích thuế thu nhập doanh nghiệp hoãn lại,35,11.058,-,,35.0,11058.0,
XI1,XI1,XI1,Chi phí thuế thu nhập doanh nghiệp,35,(151.323),(115.060),,35.0,-151323.0,-115060.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,627.225,398.228,,,627225.0,398228.0
