row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Giá trị giao dịch,numeric__Nội dung nghiệp vụ,numeric__Giá trị giao dịch
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,,
,,,Ủy Thắc nhập khẩu 36 silo,76.284.221.795,,76284221795.0
,,,Bán thức ăn cá,25.144.782.920,,25144782920.0
,,,Tổng thầu Xây dựng nhà máy thức ăn,150.828.067.218,,150828067218.0
,,,Máy sấy làm người,6.780.183.957,,6780183957.0
,,,Bán Cá Tra fillet,91.286.725.250,,91286725250.0
,,,Chuyển nhượng sử dụng đất,32.960.835.000,,32960835000.0
,,,Thuế nhà máy thức ăn cá,8.250.000.000,,8250000000.0
,,,Mua cá thành phẩm,95.328.250.400,,95328250400.0
,,,Chi hộ phí & tiền hoa hồng,1.062.265.015,,1062265015.0
,,,"Chi hộ phí ủy thác xuất khẩu, vận chuyển",1.837.598.435,,1837598435.0
,,,Bảo hiểm,19.904.000,,19904000.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,,
,,,Mua bột cá,80.377.730.000,,80377730000.0
,,,Xuất bán mỡ cá,77.510.000.000,,77510000000.0
+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,,
,,,Lãi vay,2.239.829.871,,2239829871.0
,,,"Tiếp khách, vé máy bay",3.664.853.901,,3664853901.0
,,,Cho vay,68.400.000.000,,68400000000.0
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,,
,,,Lãi vay,1.192.998.000,,1192998000.0
,,,"Tiếp khách, Vé máy bay",899.863.460,,899863460.0
,,,Mua máy lạnh,81.600.000,,81600000.0
+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,,
,,,Lãi vay,76.191.986,,76191986.0
+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,,
,,,Bảo hiểm,97.184.000,,97184000.0
,,,Mua đất Cà mau,17.500.000.000,,17500000000.0
,,,Lãi vay tiền mua đất,1.298.232.964,,1298232964.0
,,,Thi công xây dựng khu dân cư Cà Mau,183.155.773.975,,183155773975.0
+ Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,,
,,,Chi Mượn tạm,308.571.000,,308571000.0
,,,"Xuất bán vật tư, Quik Phos",901.625.070,,901625070.0
,,,Xuất bán nguyên liệu thức ăn,2.169.825.669,,2169825669.0
,,,Bảo hiểm,584.718.733,,584718733.0
,,,Trang trí nội thất khách sạn Sống Trả,11.783.838.699,,11783838699.0
,,,Phải trả thức ăn cá,21.004.460.000,,21004460000.0
