row_label_raw,row_label_full,01/01/2018,01/01/2018_1,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,numeric__01/01/2018_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Tổng cộng
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,,2.942.156.997.375,593.002.979.288,1.708.165.139.319,5.243.325.115.982,,2942156997375.0,593002979288.0,1708165139319.0,5243325115982.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,,,,
Tổng tài sản,Tải sản không phân bổ > Tổng tài sản,Tổng tài sản,,2.942.156.997.375,593.002.979.288,1.708.165.139.319,5.243.325.115.982,,2942156997375.0,593002979288.0,1708165139319.0,5243325115982.0
Nợ phải trả bộ phận,Tải sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,654.967.726.310,717.040.412.175,211.251.496.666,1.583.259.635.151,,654967726310.0,717040412175.0,211251496666.0,1583259635151.0
Nợp phải trả không phân bổ,Tải sản không phân bổ > Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,,957.082.381.801,,,,,957082381801.0
Tổng nợ phải trả,Tải sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,,654.967.726.310,717.040.412.175,211.251.496.666,2.540.342.016.952,,654967726310.0,717040412175.0,211251496666.0,2540342016952.0
b. Báo cáo bộ phân thứ vêu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ vêu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ vêu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ vêu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ vêu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ vêu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ vêu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ vêu theo lĩnh vực kinh doanh,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng cộng,,,,,
Năm nay,Năm nay,Năm nay,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,324.100.364.497,357.911.041.426,457.192.278.150,2.205.220.618.366,3.344.424.302.439,324100364497.0,357911041426.0,457192278150.0,2205220618366.0,3344424302439.0
Tải sản bộ phận,Năm nay > Tải sản bộ phận,Tải sản bộ phận,3.081.122.783.572,255.603.560.163,1.634.060.428.112,169.590.313.026,5.140.377.084.873,3081122783572.0,255603560163.0,1634060428112.0,169590313026.0,5140377084873.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,79.838.552.675,,,,,79838552675.0
Năm trước,Năm trước,Năm trước,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,398.737.120.202,97.083.409.091,401.093.466.627,986.862.628.248,1.883.776.624.168,398737120202.0,97083409091.0,401093466627.0,986862628248.0,1883776624168.0
Tải sản bộ phận,Năm trước > Tải sản bộ phận,Tải sản bộ phận,3.169.545.005.264,249.240.233.693,739.571.136.300,1.084.968.740.725,5.243.325.115.982,3169545005264.0,249240233693.0,739571136300.0,1084968740725.0,5243325115982.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,60.120.766.817,,,,,60120766817.0
