row_label_raw,row_label_full,col_0,Nam hay,Nam trắc,numeric__Nam hay,numeric__Nam trắc
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",841.853.133.092,392.575.799.038,841853133092.0,392575799038.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,87.725.505.566,65.875.280.294,87725505566.0,65875280294.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,10.690.402.707,7.725.847.397,10690402707.0,7725847397.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,57.436.961.654,111.062.004.017,57436961654.0,111062004017.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,16.390.707.182,13.105.468.732,16390707182.0,13105468732.0
Cộng,Cộng,Cộng,1.014.096.710.201,590.344.399.478,1014096710201.0,590344399478.0
