row_label_raw,row_label_full,Thời hạn,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,Tổng khoản thanh toán tiền thuê tài chính_1,Trả tiền lãi thuê_1,Trả nợ gốc_1,numeric__Tổng khoản thanh toán tiền thuê tài chính,numeric__Trả tiền lãi thuê,numeric__Trả nợ gốc,numeric__Tổng khoản thanh toán tiền thuê tài chính_1,numeric__Trả tiền lãi thuê_1,numeric__Trả nợ gốc_1
Từ 1 năm trở xuống,Từ 1 năm trở xuống,Từ 1 năm trở xuống,54.428.010.846,617.766.285,53.810.244.561,13.184.179.607,7.845.257.257,5.338.922.350,54428010846.0,617766285.0,53810244561.0,13184179607.0,7845257257.0,5338922350.0
Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,,,,,,,,,,,,
Trên 5 năm,Trên 5 năm,Trên 5 năm,,,,,,,,,,,,
Cộng,Trên 5 năm > Cộng,Cộng,54.428.010.846,617.766.285,53.810.244.561,13.184.179.607,7.845.257.257,5.338.922.350,54428010846.0,617766285.0,53810244561.0,13184179607.0,7845257257.0,5338922350.0
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,31/12/2018,31/12/2018,01/01/2018,01/01/2018,,,,,,
,,,,,Giá đánh giá lại,Giá gốc,Giá đánh giá lại,Giá gốc,,,,,,
Ngắn hạn,d) Giá trị nợ thuê tài chính > Ngắn hạn,Ngắn hạn,,,7.667.061.134,7.667.061.134,61.477.305.695,61.477.305.695,,,7667061134.0,7667061134.0,61477305695.0,61477305695.0
Gốc nợ thuê tài chính,d) Giá trị nợ thuê tài chính > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,7.667.061.134,7.667.061.134,61.477.305.695,61.477.305.695,,,7667061134.0,7667061134.0,61477305695.0,61477305695.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,,,
Dài hạn,Dài hạn,Dài hạn,,,,,,,,,,,,
Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,,,,,,,,,,
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,,,
Cộng,Lãi thuê tài chính phải trả > Cộng,Cộng,,,7.667.061.134,7.667.061.134,61.477.305.695,61.477.305.695,,,7667061134.0,7667061134.0,61477305695.0,61477305695.0
