row_label_raw,row_label_full,col_0,Nam nay,Nam truoc,numeric__Nam nay,numeric__Nam truoc
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,1.328.083.850,26.060.500,1328083850.0,26060500.0
Các khoản khác,Các khoản khác,Các khoản khác,752.728.777,273.818.230,752728777.0,273818230.0
Cộng,Cộng,Cộng,2.080.812.627,299.878.730,2080812627.0,299878730.0
