row_label_raw,row_label_full,Năm nay,Năm trước,năm,numeric__Năm trước,numeric__năm
2.630.324.911.548,2.630.324.911.548,2.630.324.911.548,1.824.951.253.962,/,1824951253962.0,
Năm nay,Năm nay,Năm nay,Năm trước,/,,
2.562.317.082.979,Năm nay > 2.562.317.082.979,2.562.317.082.979,1.752.526.875.684,/,1752526875684.0,
