row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích trực tiếp và gián tiếp,Tỷ lệ biểu quyết,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích trực tiếp và gián tiếp,numeric__Tỷ lệ biểu quyết
+ Công ty TNHH Dũng Thịnh Phát,+ Công ty TNHH Dũng Thịnh Phát,+ Công ty TNHH Dũng Thịnh Phát,"09 Nguyễn Kim, P12, Q5, TP.HCM","66,00%","66,00%",,0.66,0.66
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,"06 Đỗ Công Tường, P2, TP Cao Lãnh, Đồng Tháp","81,36%","81,36%",,0.8136,0.8136
+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,"326 Hùng Vương, P.Mỹ Long, Tp.Long Xuyên, An Giang","63,94%","63,94%",,0.6394,0.6394
