row_label_raw,row_label_full,13. PHẢI TRẢ NGƯỜI BÁN,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả ng,Đơn vị tính: VND01/01/2018 > Giá trị,Đơn vị tính: VND01/01/2018 > Số có khả năng trả ng,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả ng,numeric__Đơn vị tính: VND01/01/2018 > Giá trị,numeric__Đơn vị tính: VND01/01/2018 > Số có khả năng trả ng
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,331.819.918.936,331.819.918.936,301.592.773.879,301.592.773.879,331819918936.0,331819918936.0,301592773879.0,301592773879.0
+ Công Ty Cổ phần Đa Quốc Gia IDI,+ Công Ty Cổ phần Đa Quốc Gia IDI,+ Công Ty Cổ phần Đa Quốc Gia IDI,,,2.886.891.980,2.886.891.980,,,2886891980.0,2886891980.0
+ Công ty TNHH MTV Chế Biến Bột Cá Kim Sơn,+ Công ty TNHH MTV Chế Biến Bột Cá Kim Sơn,+ Công ty TNHH MTV Chế Biến Bột Cá Kim Sơn,52.258.348.000,52.258.348.000,,,52258348000.0,52258348000.0,,
+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,39.863.646.890,39.863.646.890,,,39863646890.0,39863646890.0,,
+ Công ty cổ phần Hum,+ Công ty cổ phần Hum,+ Công ty cổ phần Hum,27.223.603.969,27.223.603.969,,,27223603969.0,27223603969.0,,
+ Công ty TNHH TM DV Sông Hậu,+ Công ty TNHH TM DV Sông Hậu,+ Công ty TNHH TM DV Sông Hậu,19.853.929.184,19.853.929.184,,,19853929184.0,19853929184.0,,
+ Andritz Feed & Biofuel A/S,+ Andritz Feed & Biofuel A/S,+ Andritz Feed & Biofuel A/S,17.765.295.000,17.765.295.000,,,17765295000.0,17765295000.0,,
+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,12.347.964.500,12.347.964.500,,,12347964500.0,12347964500.0,,
+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,10.311.963.352,10.311.963.352,,,10311963352.0,10311963352.0,,
+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu,+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu,+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu,,,25.555.652.066,25.555.652.066,,,25555652066.0,25555652066.0
+ Công ty Seatecco,+ Công ty Seatecco,+ Công ty Seatecco,,,20.856.647.315,20.856.647.315,,,20856647315.0,20856647315.0
+ Công ty TNHH Jiangsu Muayang Holdings,+ Công ty TNHH Jiangsu Muayang Holdings,+ Công ty TNHH Jiangsu Muayang Holdings,38.941.210.000,38.941.210.000,57.617.923.000,57.617.923.000,38941210000.0,38941210000.0,57617923000.0,57617923000.0
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,113.253.958.041,113.253.958.041,194.675.659.518,194.675.659.518,113253958041.0,113253958041.0,194675659518.0,194675659518.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,331.819.918.936,331.819.918.936,301.592.773.879,301.592.773.879,331819918936.0,331819918936.0,301592773879.0,301592773879.0
