row_label_raw,row_label_full,a) Vay ngắn hạn,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,01/01/2018 > Giá trị,01/01/2018 > Số có khả năng trả nợ,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__01/01/2018 > Giá trị,numeric__01/01/2018 > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,776.310.184.577,776.310.184.577,2.263.080.992.832,2.097.070.876.467,610.300.068.212,610.300.068.212,776310184577.0,776310184577.0,2263080992832.0,2097070876467.0,610300068212.0,610300068212.0
- Ngân hàng BIDY-KG,- Ngân hàng BIDY-KG,- Ngân hàng BIDY-KG,146.853.378.089,146.853.378.089,414.441.276.591,466.587.898.502,199.000.000.000,199.000.000.000,146853378089.0,146853378089.0,414441276591.0,466587898502.0,199000000000.0,199000000000.0
- Ngân hàng An Bình - CN Cần Thơ,- Ngân hàng An Bình - CN Cần Thơ,- Ngân hàng An Bình - CN Cần Thơ,76.766.434.063,76.766.434.063,167.674.806.438,181.920.630.137,91.012.257.762,91.012.257.762,76766434063.0,76766434063.0,167674806438.0,181920630137.0,91012257762.0,91012257762.0
- Ngân hàng Việt Á - CN SG,- Ngân hàng Việt Á - CN SG,- Ngân hàng Việt Á - CN SG,,,,93.746.639.337,93.746.639.337,93.746.639.337,,,,93746639337.0,93746639337.0,93746639337.0
- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,165.382.436.077,165.382.436.077,322.845.328.396,265.133.159.222,107.670.266.903,107.670.266.903,165382436077.0,165382436077.0,322845328396.0,265133159222.0,107670266903.0,107670266903.0
- Ngân hàng VPBank Tp.HCM,- Ngân hàng VPBank Tp.HCM,- Ngân hàng VPBank Tp.HCM,246.778.716.162,246.778.716.162,1.049.168.063.341,802.389.347.179,,,246778716162.0,246778716162.0,1049168063341.0,802389347179.0,,
- Ngân hàng SCB - CN An Giang,- Ngân hàng SCB - CN An Giang,- Ngân hàng SCB - CN An Giang,,,,17.800.000.000,17.800.000.000,17.800.000.000,,,,17800000000.0,17800000000.0,17800000000.0
- Ngân hàng Phát Triển Tp.HCM,- Ngân hàng Phát Triển Tp.HCM,- Ngân hàng Phát Triển Tp.HCM,22.111.079.909,22.111.079.909,52.070.519.709,59.494.684.010,29.535.244.210,29.535.244.210,22111079909.0,22111079909.0,52070519709.0,59494684010.0,29535244210.0,29535244210.0
- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,14.577.943.000,14.577.943.000,44.577.943.000,30.000.000.000,,,14577943000.0,14577943000.0,44577943000.0,30000000000.0,,
- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,12.972.080.510,12.972.080.510,12.972.080.510,,,,12972080510.0,12972080510.0,12972080510.0,,,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,90.868.116.767,90.868.116.767,199.330.974.847,179.998.518.080,71.535.660.000,71.535.660.000,90868116767.0,90868116767.0,199330974847.0,179998518080.0,71535660000.0,71535660000.0
Vay ngắn hạn - USD,Vay ngắn hạn - USD,Vay ngắn hạn - USD,,,,,,,,,,,,
Cộng,Vay ngắn hạn - USD > Cộng,Cộng,776.310.184.577,776.310.184.577,2.263.080.992.832,2.097.070.876.467,610.300.068.212,610.300.068.212,776310184577.0,776310184577.0,2263080992832.0,2097070876467.0,610300068212.0,610300068212.0
