row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị,31/12/2018 > Dự phòng,01/01/2018 > Giá trị,01/01/2018 > Dự phòng,31/12/2018 > Giá trị_1,01/01/2018 > Giá trị_1,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Dự phòng,numeric__01/01/2018 > Giá trị,numeric__01/01/2018 > Dự phòng,numeric__31/12/2018 > Giá trị_1,numeric__01/01/2018 > Giá trị_1
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,130.030.200.092,,236.882.662.193,,130.030.200.092,236.882.662.193,130030200092.0,,236882662193.0,,130030200092.0,236882662193.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,425.245.697.680,,441.598.118.426,,425.245.697.680,441.598.118.426,425245697680.0,,441598118426.0,,425245697680.0,441598118426.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,857.999.201.034,,1.061.739.969.077,,857.999.201.034,1.061.739.969.077,857999201034.0,,1061739969077.0,,857999201034.0,1061739969077.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,231.596.733.610,,274.727.776.592,,231.596.733.610,274.727.776.592,231596733610.0,,274727776592.0,,231596733610.0,274727776592.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,497.600.000.000,,249.039.724.107,,497.600.000.000,249.039.724.107,497600000000.0,,249039724107.0,,497600000000.0,249039724107.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.553.408.873.712,(5.976.122.399),1.478.068.869.800,(18.734.635.169),1.547.432.751.313,1.459.334.234.631,1553408873712.0,-5976122399.0,1478068869800.0,-18734635169.0,1547432751313.0,1459334234631.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.695.880.706.128,(5.976.122.399),3.742.057.120.195,(18.734.635.169),3.689.904.583.729,3.723.322.485.026,3695880706128.0,-5976122399.0,3742057120195.0,-18734635169.0,3689904583729.0,3723322485026.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,331.819.918.936,,301.592.773.879,,331.819.918.936,301.592.773.879,331819918936.0,,301592773879.0,,331819918936.0,301592773879.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,531.573.465.824,,870.355.659.738,,531.573.465.824,870.355.659.738,531573465824.0,,870355659738.0,,531573465824.0,870355659738.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,1.187.635.449.140,,1.173.437.865.132,,1.187.635.449.140,1.173.437.865.132,1187635449140.0,,1173437865132.0,,1187635449140.0,1173437865132.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,34.851.311.758,,61.320.381.064,,34.851.311.758,61.320.381.064,34851311758.0,,61320381064.0,,34851311758.0,61320381064.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,2.090.074.048.640,-,2.407.722.226.413,-,2.090.074.048.640,2.407.722.226.413,2090074048640.0,,2407722226413.0,,2090074048640.0,2407722226413.0
