row_label_raw,row_label_full,col_0,Năm hay,Năm trước,numeric__Năm hay,numeric__Năm trước
06. 1. Chi phí bán hàng,06. 1. Chi phí bán hàng,06. 1. Chi phí bán hàng,06. 1. Chi phí bán hàng,06. 1. Chi phí bán hàng,,
Chi phí nhân viên bán hàng,06. 1. Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,26.000.731.463,18.608.395.306,26000731463.0,18608395306.0
Các khoản chi phí bán hàng khác,06. 1. Chi phí bán hàng > Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,7.857.593.265,8.499.010.661,7857593265.0,8499010661.0
Cộng,06. 1. Chi phí bán hàng > Cộng,Cộng,33.858.324.728,27.107.405.942,33858324728.0,27107405942.0
06. 2. Chi phí quản lý doanh nghiệp,06. 2. Chi phí quản lý doanh nghiệp,06. 2. Chi phí quản lý doanh nghiệp,06. 2. Chi phí quản lý doanh nghiệp,06. 2. Chi phí quản lý doanh nghiệp,,
"Chi phí nguyên, vật liệu","06. 2. Chi phí quản lý doanh nghiệp > Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu",848.700,55.998.348,848700.0,55998348.0
"Chi phí công cụ, dụng cụ","06. 2. Chi phí quản lý doanh nghiệp > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",12.187.206.997,9.642.080.641,12187206997.0,9642080641.0
Chi phí nhân viên,06. 2. Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,24.866.024.182,27.766.995.647,24866024182.0,27766995647.0
Chi phí khấu hao,06. 2. Chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,4.093.176.551,4.006.897.830,4093176551.0,4006897830.0
Chi phí dịch vụ mua ngoài,06. 2. Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,15.778.298.134,17.406.862.173,15778298134.0,17406862173.0
"Thuế, phí, lệ phí","06. 2. Chi phí quản lý doanh nghiệp > Thuế, phí, lệ phí","Thuế, phí, lệ phí",5.500.000,21.639.000,5500000.0,21639000.0
Các khoản chi phí QLDN khác,06. 2. Chi phí quản lý doanh nghiệp > Các khoản chi phí QLDN khác,Các khoản chi phí QLDN khác,16.226.240.552,12.236.924.484,16226240552.0,12236924484.0
Cộng,06. 2. Chi phí quản lý doanh nghiệp > Cộng,Cộng,73.157.295.116,71.137.398.123,73157295116.0,71137398123.0
