row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích trực tiếp và gián tiếp,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,numeric__Tỷ lệ lợi ích trực tiếp và gián tiếp,numeric__Tỷ lệ quyền biểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phân phối
+ Công ty TNHH Dăng Thịnh Phát,+ Công ty TNHH Dăng Thịnh Phát,+ Công ty TNHH Dăng Thịnh Phát,"66,00%","66,00%",12.008.988,80.551.131,0.66,0.66,12008988.0,80551131.0
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,"81,36%","81,36%",3.501.723.006,4.353.666.885,0.8136,0.8136,3501723006.0,4353666885.0
+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,"63,94%","63,94%",21.994.068,(6.301.998.166),0.6394,0.6394,21994068.0,-6301998166.0
+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,"72,71%","72,71%",33.831.554.290,(10.394.434.311),0.7271,0.7271,33831554290.0,-10394434311.0
+ Công ty CP Nhụt Hồng,+ Công ty CP Nhụt Hồng,+ Công ty CP Nhụt Hồng,"60,00%","60,00%",961.213.480,1.316.887.669,0.6,0.6,961213480.0,1316887669.0
+ Công ty TNHH Sao Mai Super Feed,+ Công ty TNHH Sao Mai Super Feed,+ Công ty TNHH Sao Mai Super Feed,"100,00%","100,00%",11.866.638.172,11.870.533.734,1.0,1.0,11866638172.0,11870533734.0
+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,"100,00%","100,00%",187.462.658,192.798.418,1.0,1.0,187462658.0,192798418.0
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,"51,14%","51,14%",633.107.334.578,470.091.998.643,0.5114,0.5114,633107334578.0,470091998643.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,"43,95%","82,67%",51.513.702.587,77.268.575.473,0.4395,0.8267,51513702587.0,77268575473.0
+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,"53,83%","91,95%",53.803.185,(109.378.543),0.5383,0.9195,53803185.0,-109378543.0
