row_label_raw,row_label_full,Bên liên quan ( tiếp theo),Nội dung nghiệp vụ,Các khoản phải trả,numeric__Nội dung nghiệp vụ,numeric__Các khoản phải trả
+ Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,,,,
,,,Lãi vay,282.958.000,,282958000.0
,,,Tiếp khách + Vế máy bay,106.907.000,,106907000.0
,,,Cho vay,22.000.000.000,,22000000000.0
+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,,,,
,,,Tổng thầu xây dựng khu dân cư Cà Mau,42.472.995.757,,42472995757.0
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,,,,
,,,Tiền vay,21.000.000.000,,21000000000.0
,,,"Tiếp khách, Vế máy bay",155.793.000,,155793000.0
,,,Lãi tiền vay,135.625.000,,135625000.0
,,,Máy lạnh,81.600.000,,81600000.0
+ Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,,,,
,,,Trang trí nội thất khách sạn Sông Trà,8.032.246.179,,8032246179.0
