row_label_raw,row_label_full,Dầu tư nấm giữ đến ngày đáo hạn,31/12/2018 > 187.200.000.000,01/01/2018,numeric__31/12/2018 > 187.200.000.000,numeric__01/01/2018
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,672.002.368.902,397.082.036.261,672002368902.0,397082036261.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,31.790.000.000,23.870.000.000,31790000000.0,23870000000.0
Quyền sử dụng đất,Quyền sử dụng đất,Quyền sử dụng đất,94.316.518.420,69.658.920.220,94316518420.0,69658920220.0
Cổ phiếu,Cổ phiếu,Cổ phiếu,197.000.000.000,174.000.000.000,197000000000.0,174000000000.0
