row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụ vàdụng cụVND,HeogiốngVND,Chi phíkhácVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụ vàdụng cụVND,numeric__HeogiốngVND,numeric__Chi phíkhácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,312.735.290.485,17.572.884.130,57.696.888.917,31.983.835.686,419.988.899.218,312735290485.0,17572884130.0,57696888917.0,31983835686.0,419988899218.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,4.555.731.542,16.871.400.891,67.202.376.248,53.387.166.250,142.016.674.931,4555731542.0,16871400891.0,67202376248.0,53387166250.0,142016674931.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,3.870.900.000,11.514.844.476,-,16.779.160.639,32.164.905.115,3870900000.0,11514844476.0,,16779160639.0,32164905115.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,194.211.011,-,29.062.500,223.273.511,,194211011.0,,29062500.0,223273511.0
Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,-,1.815.399.530,-,682.837.490,2.498.237.020,,1815399530.0,,682837490.0,2498237020.0
Phân loại lại,Phân loại lại,Phân loại lại,(395.913.072),(2.491.668),-,398.404.740,-,-395913072.0,-2491668.0,,398404740.0,
Thanh lý,Thanh lý,Thanh lý,(85.824.657.788),-,-,-,(85.824.657.788),-85824657788.0,,,,-85824657788.0
Xóa sổ,Xóa sổ,Xóa sổ,-,-,(19.194.308.486),(913.952.250),(20.108.260.736),,,-19194308486.0,-913952250.0,-20108260736.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(7.341.739.247),(17.495.236.783),(29.700.692.417),(20.901.531.164),(75.439.199.611),-7341739247.0,-17495236783.0,-29700692417.0,-20901531164.0,-75439199611.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,227.599.611.920,30.471.011.587,76.004.264.262,81.444.983.891,415.519.871.660,227599611920.0,30471011587.0,76004264262.0,81444983891.0,415519871660.0
