row_label_raw,row_label_full,col_0,31/12/2019 > Số lượng cổ phiếu,31/12/2019 > % lợi ích kinh tế,31/12/2019 > % quyền biểu quyết,31/12/2019 > Giá trị ghi sổ theo phương pháp vốn chủ sở hữu VND,1/1/2019 > Số lượng cổ phiếu,1/1/2019 > % lợi ích kinh tế,1/1/2019 > % quyền biểu quyết,1/1/2019 > Giá trị ghi sổ theo phương pháp vốn chủ sở hữu VND,numeric__31/12/2019 > Số lượng cổ phiếu,numeric__31/12/2019 > % lợi ích kinh tế,numeric__31/12/2019 > % quyền biểu quyết,numeric__31/12/2019 > Giá trị ghi sổ theo phương pháp vốn chủ sở hữu VND,numeric__1/1/2019 > Số lượng cổ phiếu,numeric__1/1/2019 > % lợi ích kinh tế,numeric__1/1/2019 > % quyền biểu quyết,numeric__1/1/2019 > Giá trị ghi sổ theo phương pháp vốn chủ sở hữu VND
Vissan,Vissan,Vissan,20.180.026,"24,9%","24,9%",2.135.490.172.000,20.180.026,"24,9%","24,9%",2.135.490.172.000,20180026.0,0.249,0.249,2135490172000.0,20180026.0,0.249,0.249,2135490172000.0
Thuận Phát,Thuận Phát,Thuận Phát,490.000,"25,0%","25,0%",4.925.117.326,490.000,"25,0%","25,0%",7.892.717.573,490000.0,0.25,0.25,4925117326.0,490000.0,0.25,0.25,7892717573.0
Abattoir,Abattoir,Abattoir,500.000,"25,0%","25,0%",6.708.889.701,500.000,"25,0%","25,0%",6.752.136.597,500000.0,0.25,0.25,6708889701.0,500000.0,0.25,0.25,6752136597.0
Donatraco,Donatraco,Donatraco,850.800,"21,3%","21,3%",12.813.002.613,850.800,"21,3%","21,3%",10.701.584.609,850800.0,0.213,0.213,12813002613.0,850800.0,0.213,0.213,10701584609.0
,,,,,,2.159.937.181.640,,,,2.160.836.610.779,,,,2159937181640.0,,,,2160836610779.0
