row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.926.919.438.208,1.387.337.139.131,70.784.054.488,30.633.470.975,3.415.674.102.802,1926919438208.0,1387337139131.0,70784054488.0,30633470975.0,3415674102802.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,43.583.049.937,14.032.534.313,3.527.064.599,725.257.037,61.867.905.886,43583049937.0,14032534313.0,3527064599.0,725257037.0,61867905886.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.270.338.532.929,571.028.958.016,25.057.348.476,28.527.294.736,1.894.952.134.157,1270338532929.0,571028958016.0,25057348476.0,28527294736.0,1894952134157.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(88.000.000),(360.738.702),(59.500.000),(62.786.805),(571.025.507),-88000000.0,-360738702.0,-59500000.0,-62786805.0,-571025507.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(51.465.956.387),(22.764.149.859),(9.486.625.142),(137.707.621),(83.854.439.009),-51465956387.0,-22764149859.0,-9486625142.0,-137707621.0,-83854439009.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(771.258.516),(3.263.963.590),-,(837.488.150),(4.872.710.256),-771258516.0,-3263963590.0,,-837488150.0,-4872710256.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,158.190.296,(158.190.296),-,-,-,158190296.0,-158190296.0,,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.188.673.996.467,1.945.851.589.013,89.822.342.421,58.848.040.172,5.283.195.968.073,3188673996467.0,1945851589013.0,89822342421.0,58848040172.0,5283195968073.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,333.739.907.056,501.188.238.098,34.055.052.770,9.840.280.798,878.823.478.722,333739907056.0,501188238098.0,34055052770.0,9840280798.0,878823478722.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,148.496.308.588,198.941.364.680,13.302.976.395,7.114.839.887,367.855.489.550,148496308588.0,198941364680.0,13302976395.0,7114839887.0,367855489550.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(88.000.000),(195.725.607),(1.239.584),(62.786.805),(347.751.996),-88000000.0,-195725607.0,-1239584.0,-62786805.0,-347751996.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(18.586.595.636),(22.273.629.787),(8.742.959.460),(137.707.621),(49.740.892.504),-18586595636.0,-22273629787.0,-8742959460.0,-137707621.0,-49740892504.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(771.258.516),(3.210.528.340),-,(837.488.150),(4.819.275.006),-771258516.0,-3210528340.0,,-837488150.0,-4819275006.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,462.790.361.492,674.449.719.044,38.613.830.121,15.917.138.109,1.191.771.048.766,462790361492.0,674449719044.0,38613830121.0,15917138109.0,1191771048766.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.593.179.531.152,886.148.901.033,36.729.001.718,20.793.190.177,2.536.850.624.080,1593179531152.0,886148901033.0,36729001718.0,20793190177.0,2536850624080.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.725.883.634.975,1.271.401.869.969,51.208.512.300,42.930.902.063,4.091.424.919.307,2725883634975.0,1271401869969.0,51208512300.0,42930902063.0,4091424919307.0
