row_label_raw,row_label_full,col_0,1/1/2019VND,Ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhấtVND,31/12/2019VND,numeric__1/1/2019VND,numeric__Ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhấtVND,numeric__31/12/2019VND
Lãi chưa thực hiện,Lãi chưa thực hiện,Lãi chưa thực hiện,2.752.073.235,13.073.887,2.765.147.122,2752073235.0,13073887.0,2765147122.0
Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,14.811.555.588,(2.163.611.016),12.647.944.572,14811555588.0,-2163611016.0,12647944572.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,614.237.566,(331.134.074),283.103.492,614237566.0,-331134074.0,283103492.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,29.675.239.252,(5.145.870.014),24.529.369.238,29675239252.0,-5145870014.0,24529369238.0
Lỗ tính thuế,Lỗ tính thuế,Lỗ tính thuế,38.379.959.645,(7.852.826.833),30.527.132.812,38379959645.0,-7852826833.0,30527132812.0
Chi phí khác,Chi phí khác,Chi phí khác,1.610.509.562,(297.996.752),1.312.512.810,1610509562.0,-297996752.0,1312512810.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,(18.419.009.597),6.629.339.724,(11.789.669.873),-18419009597.0,6629339724.0,-11789669873.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,(522.984.419.636),46.669.876.992,(476.314.542.644),-522984419636.0,46669876992.0,-476314542644.0
,,,(453.559.854.385),37.520.851.914,(416.039.002.471),-453559854385.0,37520851914.0,-416039002471.0
