row_label_raw,row_label_full,col_0,31/12/2019Triệu VND(Như đã báo cáotrước đây),31/12/2019Triệu VND(Trừ tiền gửiký quỹ),31/12/2019Triệu VND(Sau khitrình bày lại),numeric__31/12/2019Triệu VND(Như đã báo cáotrước đây),numeric__31/12/2019Triệu VND(Trừ tiền gửiký quỹ),numeric__31/12/2019Triệu VND(Sau khitrình bày lại)
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,22.201.501,(84.788),22.116.713,22201501.0,-84788.0,22116713.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,16.745.678,(588.813),16.156.865,16745678.0,-588813.0,16156865.0
