row_label_raw,row_label_full,col_0,col_1,2020Triệu VND,2019Triệu VND,numeric__col_1,numeric__2020Triệu VND,numeric__2019Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,(25.534),(48.222),,-25534.0,-48222.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",25.714,14.316,,25714.0,14316.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",-,(11.000),,,-11000.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",5.013,2.634,,5013.0,2634.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,5.193,(42.272),,5193.0,-42272.0
,,,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
03,03,03,Tiền chi cho thanh toán giấy tờ có giá dài hạn và có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,-,(2.615.000),,,-2615000.0
05,05,05,Tiền chi do mua cổ phiếu quỹ,-,(1.110.590),,,-1110590.0
06,06,06,Tiền thu do bán cổ phiếu quỹ,170.000,310.000,,170000.0,310000.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,170.000,(3.415.590),,170000.0,-3415590.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,1.494.746,(6.625.227),,1494746.0,-6625227.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,21.396.445,28.021.672,,21396445.0,28021672.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM (THUYẾT MINH 39),22.891.191,21.396.445,,22891191.0,21396445.0
