row_label_raw,row_label_full,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Đến 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
-,-,-,-,3.282.556,-,-,-,-,3.282.556,,3282556.0,,,,,3282556.0
-,-,-,-,5.779.610,-,-,-,-,5.779.610,,5779610.0,,,,,5779610.0
-,-,-,-,13.428.287,4.093.081,1.986.821,46.619,-,19.554.808,,13428287.0,4093081.0,1986821.0,46619.0,,19554808.0
-,-,-,-,493.214,-,-,-,-,493.214,,493214.0,,,,,493214.0
8.839.008,8.839.008,8.839.008,3.870.626,38.630.128,30.511.727,86.934.971,91.185.527,31.104.331,291.076.318,3870626.0,38630128.0,30511727.0,86934971.0,91185527.0,31104331.0,291076318.0
-,-,-,-,265.074,814.128,8.695.894,41.859.708,25.179.444,76.814.248,,265074.0,814128.0,8695894.0,41859708.0,25179444.0,76814248.0
-,-,-,-,-,-,-,-,238.602,238.602,,,,,,238602.0,238602.0
-,-,-,-,-,-,-,455.959,1.406.871,1.862.830,,,,,455959.0,1406871.0,1862830.0
50.291,50.291,50.291,7.383,13.016.818,4.921.853,6.795.744,-,-,24.792.089,7383.0,13016818.0,4921853.0,6795744.0,,,24792089.0
8.889.299,8.889.299,8.889.299,3.878.009,74.895.687,40.340.789,104.413.430,133.547.813,57.929.248,423.894.275,3878009.0,74895687.0,40340789.0,104413430.0,133547813.0,57929248.0,423894275.0
-,-,-,-,482,2.181,11.557,-,-,14.220,,482.0,2181.0,11557.0,,,14220.0
-,-,-,-,9.772.419,16.616.258,24.811.544,5.303.320,7.741,56.511.282,,9772419.0,16616258.0,24811544.0,5303320.0,7741.0,56511282.0
-,-,-,-,85.097.886,67.255.736,76.002.013,5.071.019,1.299,233.427.953,,85097886.0,67255736.0,76002013.0,5071019.0,1299.0,233427953.0
-,-,-,-,3.691,91.376,200.211,(67.837),(87.616),139.825,,3691.0,91376.0,200211.0,-67837.0,-87616.0,139825.0
-,-,-,-,22.741,21.755,120.615,22.045,-,187.156,,22741.0,21755.0,120615.0,22045.0,,187156.0
-,-,-,-,2.703.759,4.227.688,21.749.949,33.177.510,986.582,62.845.488,,2703759.0,4227688.0,21749949.0,33177510.0,986582.0,62845488.0
-,-,-,-,12.332.700,224.828,466.531,83.042,-,13.107.101,,12332700.0,224828.0,466531.0,83042.0,,13107101.0
-,-,-,-,109.933.678,88.439.822,123.362.420,43.589.099,908.006,366.233.025,,109933678.0,88439822.0,123362420.0,43589099.0,908006.0,366233025.0
8.889.299,8.889.299,8.889.299,3.878.009,(35.037.991),(48.099.033),(18.948.990),89.958.714,57.021.242,57.661.250,3878009.0,-35037991.0,-48099033.0,-18948990.0,89958714.0,57021242.0,57661250.0
