row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019(Triệu VND),EUR,USD,Vàng được quy đổi,Các ngoại tệ khácđược quy đổi,Tổng cộng,numeric__EUR,numeric__USD,numeric__Vàng được quy đổi,numeric__Các ngoại tệ khácđược quy đổi,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,207.336,155.356,169.520,295.781,827.993,207336.0,155356.0,169520.0,295781.0,827993.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,231.707,-,-,231.707,,231707.0,,,231707.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,68.899,2.869.165,-,92.640,3.030.704,68899.0,2869165.0,,92640.0,3030704.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,5.220,4.425.006,-,-,4.430.226,5220.0,4425006.0,,,4430226.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,7.176,8.205.685,-,32.336,8.245.197,7176.0,8205685.0,,32336.0,8245197.0
,,,288.631,15.886.919,169.520,420.757,16.765.827,288631.0,15886919.0,169520.0,420757.0,16765827.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
"Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác","Nợ phải trả > Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác","Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác",7.140,26.715.667,-,32.309,26.755.116,7140.0,26715667.0,,32309.0,26755116.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,225.847,3.814.321,-,321.297,4.361.465,225847.0,3814321.0,,321297.0,4361465.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,51.609,(19.876.381),-,69.782,(19.754.990),51609.0,-19876381.0,,69782.0,-19754990.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,6.912.874,-,-,6.912.874,,6912874.0,,,6912874.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,912,718.969,-,1.971,721.852,912.0,718969.0,,1971.0,721852.0
,,,285.508,18.285.450,-,425.359,18.996.317,285508.0,18285450.0,,425359.0,18996317.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,3.123,(2.398.531),169.520,(4.602),(2.230.490),3123.0,-2398531.0,169520.0,-4602.0,-2230490.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,10.632,(133.635),-,(16.187),(139.190),10632.0,-133635.0,,-16187.0,-139190.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",13.755,(2.532.166),169.520,(20.789),(2.369.680),13755.0,-2532166.0,169520.0,-20789.0,-2369680.0
