row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự trữbổ sungvốn điều lệ,Quỹ dựphòng tài chính,Quỹ đầu tưphát triển,Lợi nhuậnchưa phânphói,Cổ phiếuquỹ,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự trữbổ sungvốn điều lệ,numeric__Quỹ dựphòng tài chính,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuậnchưa phânphói,numeric__Cổ phiếuquỹ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,25.299.680,1.289.001,703.949,2.465.423,2.296.507,5.187.230,(2.491.721),34.750.069,25299680.0,1289001.0,703949.0,2465423.0,2296507.0,5187230.0,-2491721.0,34750069.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,8.260.263,-,8.260.263,,,,,,8260263.0,,8260263.0
Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưaphân phối đề tăng vốn,Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưaphân phối đề tăng vốn,Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưaphân phối đề tăng vốn,-,-,-,-,(2.800.184),2.800.184,-,-,,,,,-2800184.0,2800184.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,412.577,825.001,3.204.132,(4.441.710),-,-,,,412577.0,825001.0,3204132.0,-4441710.0,,
Mua lại cổ phiếu làm cổ phiếu quỹ,Mua lại cổ phiếu làm cổ phiếu quỹ,Mua lại cổ phiếu làm cổ phiếu quỹ,-,-,-,-,-,-,(1.109.703),(1.109.703),,,,,,,-1109703.0,-1109703.0
Phí mua lại cổ phiếu,Phí mua lại cổ phiếu,Phí mua lại cổ phiếu,-,-,-,-,-,-,(887),(887),,,,,,,-887.0,-887.0
Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹtheo ESOP,Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹtheo ESOP,Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹtheo ESOP,-,(596.281),-,-,-,-,906.281,310.000,,-596281.0,,,,,906281.0,310000.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,25.299.680,692.720,1.116.526,3.290.424,2.700.455,11.805.967,(2.696.030),42.209.742,25299680.0,692720.0,1116526.0,3290424.0,2700455.0,11805967.0,-2696030.0,42209742.0
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,25.299.680,692.720,1.116.526,3.290.424,2.700.455,11.805.967,(2.696.030),42.209.742,25299680.0,692720.0,1116526.0,3290424.0,2700455.0,11805967.0,-2696030.0,42209742.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,10.413.760,-,10.413.760,,,,,,10413760.0,,10413760.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,520.702,1.041.350,3.242.311,(4.804.363),-,-,,,520702.0,1041350.0,3242311.0,-4804363.0,,
Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹtheo ESOP (*),Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹtheo ESOP (*),Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹtheo ESOP (*),-,(326.993),-,-,-,-,496.993,170.000,,-326993.0,,,,,496993.0,170000.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,25.299.680,365.727,1.637.228,4.331.774,5.942.766,17.415.364,(2.199.037),52.793.502,25299680.0,365727.0,1637228.0,4331774.0,5942766.0,17415364.0,-2199037.0,52793502.0
