row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,"Tổng tiền gửi, tiền vay",Các cam kết tín dụng,Công cụ tài chính phải sinh,Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,"numeric__Tổng tiền gửi, tiền vay",numeric__Các cam kết tín dụng,numeric__Công cụ tài chính phải sinh,numeric__Kinh doanh và đầu tư chứng khoán
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,261.798.526,298.256.900,38.972.441,44.930,70.452.377,261798526.0,298256900.0,38972441.0,44930.0,70452377.0
Nước ngoài,Nước ngoài,Nước ngoài,-,24.471.695,-,740,-,,24471695.0,,740.0,
,,,261.798.526,322.728.595,38.972.441,45.670,70.452.377,261798526.0,322728595.0,38972441.0,45670.0,70452377.0
