row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2020VND,Tỷ giá ngày > 31/12/2019VND,numeric__Tỷ giá ngày > 31/12/2020VND,numeric__Tỷ giá ngày > 31/12/2019VND
AUD,AUD,AUD,17.660,16.232,17660.0,16232.0
CAD,CAD,CAD,18.165,17.749,18165.0,17749.0
CHF,CHF,CHF,26.186,23.908,26186.0,23908.0
CNY,CNY,CNY,3.539,3.312,3539.0,3312.0
DKK,DKK,DKK,3.160,3.160,3160.0,3160.0
EUR,EUR,EUR,28.523,25.804,28523.0,25804.0
GBP,GBP,GBP,31.160,30.396,31160.0,30396.0
JPY,JPY,JPY,224,213,224.0,213.0
NZD,NZD,NZD,17.249,17.249,17249.0,17249.0
SEK,SEK,SEK,3.078,3.078,3078.0,3078.0
SGD,SGD,SGD,17.504,17.192,17504.0,17192.0
THB,THB,THB,640,640,640.0,640.0
USD,USD,USD,23.100,23.175,23100.0,23175.0
XAU (*),XAU (*),XAU (*),558.250,418.950,558250.0,418950.0
