row_label_raw,row_label_full,col_0,31/12/2020Triệu VND,%,31/12/2019Triệu VND,%_1,numeric__31/12/2020Triệu VND,numeric__%,numeric__31/12/2019Triệu VND,numeric__%_1
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",3.786.880,"1,30",1.224.901,"0,48",3786880.0,1.3,1224901.0,0.48
Khai khoáng,Khai khoáng,Khai khoáng,927.374,"0,32",872.775,"0,34",927374.0,0.32,872775.0,0.34
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",14.266.805,"4,91",12.299.785,"4,78",14266805.0,4.91,12299785.0,4.78
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2.803.150,"0,96",2.500.209,"0,97",2803150.0,0.96,2500209.0,0.97
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",181.272,"0,06",204.229,"0,08",181272.0,0.06,204229.0,0.08
Xây dựng,Xây dựng,Xây dựng,24.703.820,"8,49",21.607.181,"8,40",24703820.0,8.49,21607181.0,8.4
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",31.836.141,"10,95",29.559.991,"11,50",31836141.0,10.95,29559991.0,11.5
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,5.899.292,"2,03",7.286.253,"2,83",5899292.0,2.03,7286253.0,2.83
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,10.017.665,"3,44",9.809.042,"3,81",10017665.0,3.44,9809042.0,3.81
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,234.725,"0,08",345.026,"0,13",234725.0,0.08,345026.0,0.13
Hoạt động tài chính và bảo hiểm,Hoạt động tài chính và bảo hiểm,Hoạt động tài chính và bảo hiểm,7.430.985,"2,56",5.749.920,"2,24",7430985.0,2.56,5749920.0,2.24
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,36.924.235,"12,70",24.361.962,"9,48",36924235.0,12.7,24361962.0,9.48
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",456.384,"0,16",565.941,"0,22",456384.0,0.16,565941.0,0.22
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,1.087.771,"0,37",1.476.380,"0,57",1087771.0,0.37,1476380.0,0.57
"Hoạt động của Đảng cộng sản, tổ chức chính trị - xã hội, quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc","Hoạt động của Đảng cộng sản, tổ chức chính trị - xã hội, quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc","Hoạt động của Đảng cộng sản, tổ chức chính trị - xã hội, quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",3.970,"0,00",6.433,"0,00",3970.0,0.0,6433.0,0.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,141.609,"0,05",237.645,"0,09",141609.0,0.05,237645.0,0.09
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,94.361,"0,03",61.958,"0,02",94361.0,0.03,61958.0,0.02
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",106.138,"0,04",293.082,"0,11",106138.0,0.04,293082.0,0.11
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,535.206,"0,18",423.702,"0,16",535206.0,0.18,423702.0,0.16
"Hoạt động làm thuê các công việc trong hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tư tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tư tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tư tiêu dùng của hộ gia đình",113.042.970,"38,88",110.975.275,"43,16",113042970.0,38.88,110975275.0,43.16
"Cho vay cá nhân để mua nhà ở, nhận quyền sử dụng đất để xây nhà ở","Cho vay cá nhân để mua nhà ở, nhận quyền sử dụng đất để xây nhà ở","Cho vay cá nhân để mua nhà ở, nhận quyền sử dụng đất để xây nhà ở",36.334.720,"12,49",27.319.010,"10,63",36334720.0,12.49,27319010.0,10.63
Hoạt động của các tổ chức và cơ quan quốc tế,Hoạt động của các tổ chức và cơ quan quốc tế,Hoạt động của các tổ chức và cơ quan quốc tế,613,"0,00",3.259,"0,00",613.0,0.0,3259.0,0.0
,,,290.816.086,100,257.183.959,100,290816086.0,100.0,257183959.0,100.0
