row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Xí nghiệp Liên doanh Visorutex,- Xí nghiệp Liên doanh Visorutex,- Xí nghiệp Liên doanh Visorutex,Thành phố Hồ Chí Minh,"27,57%","27,57%",Trồng và khai thác cao su,,0.2757,0.2757,
- Công ty Cổ phần Xây dựng và Tư vấn Đầu tư,- Công ty Cổ phần Xây dựng và Tư vấn Đầu tư,- Công ty Cổ phần Xây dựng và Tư vấn Đầu tư,Thành phố Hồ Chí Minh,"47,88%","47,88%","Tư vấn, Đầu tư xây dựng",,0.4788,0.4788,
- Công ty Cổ phần Đầu tư Xây dựng Cao su,- Công ty Cổ phần Đầu tư Xây dựng Cao su,- Công ty Cổ phần Đầu tư Xây dựng Cao su,Thành phố Hồ Chí Minh,"27,00%","27,00%",Đầu tư xây dựng,,0.27,0.27,
- Công ty Cổ phần Khu công nghiệp Nam Tân Uyên,- Công ty Cổ phần Khu công nghiệp Nam Tân Uyên,- Công ty Cổ phần Khu công nghiệp Nam Tân Uyên,Tỉnh Bình Dương,"20,42%","20,42%",Hạ tầng Khu Công nghiệp,,0.20420000000000002,0.20420000000000002,
- Công ty Cổ phần Cao su Việt Lào,- Công ty Cổ phần Cao su Việt Lào,- Công ty Cổ phần Cao su Việt Lào,Thành phố Hồ Chí Minh,"20,66%","20,66%",Trồng và khai thác cao su,,0.2066,0.2066,
- Công ty Cổ phần Cao su Bến Thành,- Công ty Cổ phần Cao su Bến Thành,- Công ty Cổ phần Cao su Bến Thành,Thành phố Hồ Chí Minh,"48,85%","48,85%",Công nghiệp cao su,,0.4885,0.4885,
- Công ty Cổ phần Cao su Tân Biên Kampongthom,- Công ty Cổ phần Cao su Tân Biên Kampongthom,- Công ty Cổ phần Cao su Tân Biên Kampongthom,Tỉnh Tây Ninh,"45,96%","49,00%",Trồng và khai thác cao su,,0.4596,0.49,
- Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,- Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,- Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,Tỉnh Đồng Nai,"22,00%","22,00%",Xây dựng cơ sở hạ tầng,,0.22,0.22,
- Công ty Cổ phần Cao su Đồng Nai Kratie,- Công ty Cổ phần Cao su Đồng Nai Kratie,- Công ty Cổ phần Cao su Đồng Nai Kratie,Tỉnh Đồng Nai,"21,38%","25,00%",Trồng và khai thác cao su,,0.2138,0.25,
- Công ty Cổ phần Cao su Đồng Phú Kratie,- Công ty Cổ phần Cao su Đồng Phú Kratie,- Công ty Cổ phần Cao su Đồng Phú Kratie,Tỉnh Bình Phước,"29,57%","30,00%",Trồng và khai thác cao su,,0.2957,0.3,
