row_label_raw,row_label_full,- Công ty TNHH MTV Cao su Quảng Nam,Công ty con,3.028.000.000,21.604.569.731,numeric__Công ty con,numeric__3.028.000.000,numeric__21.604.569.731
- Công ty CP Cao su Lai Châu,- Công ty CP Cao su Lai Châu,- Công ty CP Cao su Lai Châu,Công ty con,-,5.775.000.000,,,5775000000.0
- Công ty TNHH MTV Cao su Thanh Hóa,- Công ty TNHH MTV Cao su Thanh Hóa,- Công ty TNHH MTV Cao su Thanh Hóa,Công ty con,-,1.829.569.731,,,1829569731.0
- Công ty TNHH MTV Cao su Kon Tum,- Công ty TNHH MTV Cao su Kon Tum,- Công ty TNHH MTV Cao su Kon Tum,Công ty con,3.000.000.000,10.000.000.000,,3000000000.0,10000000000.0
- Công ty TNHH MTV Cao su Quảng Nam,- Công ty TNHH MTV Cao su Quảng Nam,- Công ty TNHH MTV Cao su Quảng Nam,Công ty con,-,-,,,
- Hiệp hội Cao su Việt Nam,- Công ty TNHH MTV Cao su Quảng Nam > - Hiệp hội Cao su Việt Nam,- Hiệp hội Cao su Việt Nam,,28.000.000,-,,28000000.0,
- Công ty Cổ phần Cao su Son La,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty Cổ phần Cao su Son La,- Công ty Cổ phần Cao su Son La,Công ty con,-,4.000.000.000,,,4000000000.0
Phải thu về ứng vốn kinh doanh,- Công ty TNHH MTV Cao su Quảng Nam > Phải thu về ứng vốn kinh doanh,Phải thu về ứng vốn kinh doanh,,23.754.089.515,41.531.612.483,,23754089515.0,41531612483.0
- Công ty CP Cao su Lai Châu,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty CP Cao su Lai Châu,- Công ty CP Cao su Lai Châu,Công ty con,-,9.441.267.283,,,9441267283.0
- Công ty CP Cao su Son La,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty CP Cao su Son La,- Công ty CP Cao su Son La,Công ty con,5.506.416.515,-,,5506416515.0,
- Công ty TNHH MTV Cao su Quảng Ngãi,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty TNHH MTV Cao su Quảng Ngãi,- Công ty TNHH MTV Cao su Quảng Ngãi,Công ty con,1.000.000.000,-,,1000000000.0,
- Công ty CP Gỗ MDF VRG Kiên Giang,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty CP Gỗ MDF VRG Kiên Giang,- Công ty CP Gỗ MDF VRG Kiên Giang,Công ty con,5.000.000.000,5.000.000.000,,5000000000.0,5000000000.0
- Công ty TNHH MTV Cao su Hương Khê Hà,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty TNHH MTV Cao su Hương Khê Hà,- Công ty TNHH MTV Cao su Hương Khê Hà,Công ty con,12.247.673.000,12.247.673.000,,12247673000.0,12247673000.0
- Công ty TNHH MTV Cao su Quảng Nam,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty TNHH MTV Cao su Quảng Nam,- Công ty TNHH MTV Cao su Quảng Nam,Công ty con,-,130.172.200,,,130172200.0
- Công ty CP ĐT Phát triển Cao su Nghệ An,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty CP ĐT Phát triển Cao su Nghệ An,- Công ty CP ĐT Phát triển Cao su Nghệ An,Công ty con,-,3.000.000.000,,,3000000000.0
- Công ty CP Gỗ MDF VRG Quảng Trị,- Công ty TNHH MTV Cao su Quảng Nam > - Công ty CP Gỗ MDF VRG Quảng Trị,- Công ty CP Gỗ MDF VRG Quảng Trị,Công ty con,-,11.712.500.000,,,11712500000.0
