row_label_raw,row_label_full,Bảng đối chiếu bien dụng của với chủ sở hữu,Vốn đầu tư củachủ sở hữu,Thăng dư vốn cổphán,Chênh lệch đánh giálợi tài sản,Chênh lệch tỷ giáhối đoai,Quỹ đầu tưphát triển,Quỹ khác thuđevốn chủ sở hữu,Lợi nhuậnchưa phân phối,Nguồn vốn đầu TuXây dựng cơ bản,Quỹ hỗ trợ sắp xếpdoanh nghiệp,Cộng,numeric__Vốn đầu tư củachủ sở hữu,numeric__Thăng dư vốn cổphán,numeric__Chênh lệch đánh giálợi tài sản,numeric__Chênh lệch tỷ giáhối đoai,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuđevốn chủ sở hữu,numeric__Lợi nhuậnchưa phân phối,numeric__Nguồn vốn đầu TuXây dựng cơ bản,numeric__Quỹ hỗ trợ sắp xếpdoanh nghiệp,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,27.354.777.037.363,-,2.437.373.768.203,-,4.642.923.454.498,301.474.167.728,-,4.648.780.231.369,990.086.946,39.386.318.746.107,27354777037363.0,,2437373768203.0,,4642923454498.0,301474167728.0,,4648780231369.0,990086946.0,39386318746107.0
Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,1.202.812.032.913,-,-,-,-,-,-,-,-,1.202.812.032.913,1202812032913.0,,,,,,,,,1202812032913.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,-,-,-,-,-,-,1.413.045.982.496,-,-,1.413.045.982.496,,,,,,,1413045982496.0,,,1413045982496.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,381.522.415.274,42.391.379.475,(423.913.794.749),-,-,-,,,,,381522415274.0,42391379475.0,-423913794749.0,,,
Lợi nhuận nộp về ngân sách Nhà Nước,Lợi nhuận nộp về ngân sách Nhà Nước,Lợi nhuận nộp về ngân sách Nhà Nước,-,-,-,-,-,-,(973.623.907.747),-,-,(973.623.907.747),,,,,,,-973623907747.0,,,-973623907747.0
Trích quỹ khen thưởng phúc lợi từ lợi nhuận,Trích quỹ khen thưởng phúc lợi từ lợi nhuận,Trích quỹ khen thưởng phúc lợi từ lợi nhuận,-,-,-,-,-,-,(14.702.780.000),-,-,(14.702.780.000),,,,,,,-14702780000.0,,,-14702780000.0
Trích quỹ khen thưởng viên chức quản lý,Trích quỹ khen thưởng viên chức quản lý,Trích quỹ khen thưởng viên chức quản lý,-,-,-,-,-,-,(805.500.000),-,-,(805.500.000),,,,,,,-805500000.0,,,-805500000.0
Sử dụng quỹ trong kỳ,Sử dụng quỹ trong kỳ,Sử dụng quỹ trong kỳ,-,-,-,-,-,(9.561.572.616),-,-,-,(9.561.572.616),,,,,,-9561572616.0,,,,-9561572616.0
Lãi tiền gửi từ Quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi tiền gửi từ Quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi tiền gửi từ Quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,-,-,8.221.986,8.221.986,,,,,,,,,8221986.0,8221986.0
Chênh lệch tỷ giá hối đoai do đánh giá lại sốdu cuối kỳ,Chênh lệch tỷ giá hối đoai do đánh giá lại sốdu cuối kỳ,Chênh lệch tỷ giá hối đoai do đánh giá lại sốdu cuối kỳ,-,-,-,39.063.767,-,-,-,-,-,39.063.767,,,,39063767.0,,,,,,39063767.0
Tiền chăm nộp lợi nhuận còn lại phải nộpngân sách Nhà Nước năm 2017,Tiền chăm nộp lợi nhuận còn lại phải nộpngân sách Nhà Nước năm 2017,Tiền chăm nộp lợi nhuận còn lại phải nộpngân sách Nhà Nước năm 2017,-,-,-,-,(10.486.419.078),-,-,-,-,(10.486.419.078),,,,,-10486419078.0,,,,,-10486419078.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,-,-,(6.574.172),(6.574.172),,,,,,,,,-6574172.0,-6574172.0
Số dư cuối kỳ trước,Số dư cuối kỳ trước,Số dư cuối kỳ trước,28.557.589.070.276,-,2.437.373.768.203,39.063.767,5.013.959.450.694,334.303.974.587,-,4.648.780.231.369,991.734.760,40.993.037.293.656,28557589070276.0,,2437373768203.0,39063767.0,5013959450694.0,334303974587.0,,4648780231369.0,991734760.0,40993037293656.0
Số dư đầu kỳ này (*),Số dư đầu kỳ này (*),Số dư đầu kỳ này (*),48.000.000.000.000,5.587.206.442,-,39.063.767,-,-,-,-,-,40.005.626.270.209,48000000000000.0,5587206442.0,,39063767.0,,,,,,40005626270209.0
Lãi trong kỳ này,Lãi trong kỳ này,Lãi trong kỳ này,-,-,-,-,-,-,1.326.747.514.108,-,-,1.326.747.514.108,,,,,,,1326747514108.0,,,1326747514108.0
Kết chuyển chênh lệch tỷ giả,Kết chuyển chênh lệch tỷ giả,Kết chuyển chênh lệch tỷ giả,-,-,-,(39.063.767),-,-,-,-,-,(39.063.767),,,,-39063767.0,,,,,,-39063767.0
Số dư cuối kỳ này,Số dư cuối kỳ này,Số dư cuối kỳ này,40.000.000.000.000,5.587.206.442,-,-,-,-,1.326.747.514.108,-,-,41.332.334.720.550,40000000000000.0,5587206442.0,,,,,1326747514108.0,,,41332334720550.0
