row_label_raw,row_label_full,Másố,CHỈ TIÊU,Thuyết minh,Từ 01/06/2018đến 31/12/2018 > VND,Từ 01/01/2018đến 31/05/2018 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Từ 01/06/2018đến 31/12/2018 > VND,numeric__Từ 01/01/2018đến 31/05/2018 > VND
I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH,,,,
01,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH > 01,01,"1. Tiền thu từ bán hàng, cung cấp dịch vụvà doanh thu khác",,412.704.225.217,144.866.779.475,,,412704225217.0,144866779475.0
02,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH > 02,02,2. Tiền chỉ trả cho người cung cấp hàng hóa và dịch vụ,,(426.453.783.283),(128.460.978.868),,,-426453783283.0,-128460978868.0
03,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH > 03,03,3. Tiền chỉ trả cho người lao động,,(28.832.717.507),(33.158.306.201),,,-28832717507.0,-33158306201.0
04,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH > 04,04,4. Tiền lãi vay đã trả,,(7.812.998.527),(12.102.039.197),,,-7812998527.0,-12102039197.0
06,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH > 06,06,5. Tiền thu khác từ hoạt động kinh doanh,,175.638.680.660,91.753.452.099,,,175638680660.0,91753452099.0
07,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH > 07,07,6. Tiền chỉ khác cho hoạt động kinh doanh,,(1.114.874.239.590),(1.676.591.371.981),,,-1114874239590.0,-1676591371981.0
20,I. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(989.630.833.030),(1.613.692.464.673),,,-989630833030.0,-1613692464673.0
II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-},II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-},II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-},II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-},II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-},II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-},II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-},,,,
21,II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-} > 21,21,"1. Tiền chỉ để mua sắm, xây dựng tài sancố định và các tài sản dài hạn khác",,(179.857.665),-,,,-179857665.0,
