row_label_raw,row_label_full,col_0,Từ 01/06/2018đến 31/12/2018,Từ 01/01/2018đến 31/05/2018,numeric__Từ 01/06/2018đến 31/12/2018,numeric__Từ 01/01/2018đến 31/05/2018
,,,VND,VND,,
Tổng lợi nhuận kế toán trước thuế TNDN,Tổng lợi nhuận kế toán trước thuế TNDN,Tổng lợi nhuận kế toán trước thuế TNDN,1.326.747.514.108,1.413.045.982.496,1326747514108.0,1413045982496.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,657.643.466,102.351.467,657643466.0,102351467.0
- Chi phí không hợp lệ,- Chi phí không hợp lệ,- Chi phí không hợp lệ,657.643.466,102.351.467,657643466.0,102351467.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(2.157.130.999.337),(1.686.672.128.524),-2157130999337.0,-1686672128524.0
"- Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia",(918.799.778.500),(146.070.671.400),-918799778500.0,-146070671400.0
- Lợi nhuận được chia từ các công ty con đầu tư 100%,- Lợi nhuận được chia từ các công ty con đầu tư 100%,- Lợi nhuận được chia từ các công ty con đầu tư 100%,(1.238.331.220.837),(1.540.601.457.124),-1238331220837.0,-1540601457124.0
Thu nhập chịu thuế TNDN,Thu nhập chịu thuế TNDN,Thu nhập chịu thuế TNDN,(829.725.841.763),(273.523.794.561),-829725841763.0,-273523794561.0
Chi phí thuế thu nhập doanh nghiệp hiện hành (thuế suất 20%),Chi phí thuế thu nhập doanh nghiệp hiện hành (thuế suất 20%),Chi phí thuế thu nhập doanh nghiệp hiện hành (thuế suất 20%),-,-,,
Thuế thu nhập doanh nghiệp phải nộp đầu kỳ,Chi phí thuế thu nhập doanh nghiệp hiện hành (thuế suất 20%) > Thuế thu nhập doanh nghiệp phải nộp đầu kỳ,Thuế thu nhập doanh nghiệp phải nộp đầu kỳ,(32.777.604.184),(32.777.604.184),-32777604184.0,-32777604184.0
Thuế thu nhập doanh nghiệp đã nộp trong kỳ,Thuế thu nhập doanh nghiệp đã nộp trong kỳ,Thuế thu nhập doanh nghiệp đã nộp trong kỳ,-,-,,
Tổng thuế TNDN phải nộp cuối kỳ,Thuế thu nhập doanh nghiệp đã nộp trong kỳ > Tổng thuế TNDN phải nộp cuối kỳ,Tổng thuế TNDN phải nộp cuối kỳ,(32.777.604.184),(32.777.604.184),-32777604184.0,-32777604184.0
