row_label_raw,row_label_full,- Công ty TNHH MTV Cao su Quảng Ngãi,Công ty con,1.000.000.000,1.000.000.000_1,numeric__Công ty con,numeric__1.000.000.000,numeric__1.000.000.000_1
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,7.777.516.802,7.777.516.802,,7777516802.0,7777516802.0
- Trung tâm y tế Cao Su,- Trung tâm y tế Cao Su,- Trung tâm y tế Cao Su,Công ty con,4.777.516.802,4.777.516.802,,4777516802.0,4777516802.0
- Công ty TNHH MTV Cao su Hà Tĩnh,- Công ty TNHH MTV Cao su Hà Tĩnh,- Công ty TNHH MTV Cao su Hà Tĩnh,Công ty con,3.000.000.000,3.000.000.000,,3000000000.0,3000000000.0
