row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,156.782.280.757,4.588.703.255,21.166.635.130,63.088.562.061,245.626.181.203,156782280757.0,4588703255.0,21166635130.0,63088562061.0,245626181203.0
- Mua trong kỳ,Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,-,-,613.428.869,-,613.428.869,,,613428869.0,,613428869.0
- Điều chỉnh tăng theo quyết toán công trìnhTòa nhà trụ sở văn phòng,Nguyên giá > - Điều chỉnh tăng theo quyết toán công trìnhTòa nhà trụ sở văn phòng,- Điều chỉnh tăng theo quyết toán công trìnhTòa nhà trụ sở văn phòng,1.276.305.609,-,-,15.272.723.361,16.549.028.970,1276305609.0,,,15272723361.0,16549028970.0
- Điều chỉnh giảm theo quyết toán công trìnhTòa nhà trụ sở văn phòng,Nguyên giá > - Điều chỉnh giảm theo quyết toán công trìnhTòa nhà trụ sở văn phòng,- Điều chỉnh giảm theo quyết toán công trìnhTòa nhà trụ sở văn phòng,(283.776.724),-,-,(8.012.582.360),(8.296.359.084),-283776724.0,,,-8012582360.0,-8296359084.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,157.774.809.642,4.588.703.255,21.780.063.999,70.348.703.062,254.492.279.958,157774809642.0,4588703255.0,21780063999.0,70348703062.0,254492279958.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,37.358.946.792,4.541.809.346,20.045.751.734,59.608.256.174,121.554.764.046,37358946792.0,4541809346.0,20045751734.0,59608256174.0,121554764046.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,3.587.757.583,46.893.909,435.533.771,3.445.166.982,7.515.352.245,3587757583.0,46893909.0,435533771.0,3445166982.0,7515352245.0
- Điều chỉnh tăng theo quyết toán công trìnhTòa nhà trụ sở văn phòng,Giá trị hao mòn lũy kế > - Điều chỉnh tăng theo quyết toán công trìnhTòa nhà trụ sở văn phòng,- Điều chỉnh tăng theo quyết toán công trìnhTòa nhà trụ sở văn phòng,404.163.446,-,-,15.272.723.361,15.676.886.807,404163446.0,,,15272723361.0,15676886807.0
- Điều chỉnh giảm theo quyết toán công trìnhTòa nhà trụ sở văn phòng,Giá trị hao mòn lũy kế > - Điều chỉnh giảm theo quyết toán công trìnhTòa nhà trụ sở văn phòng,- Điều chỉnh giảm theo quyết toán công trìnhTòa nhà trụ sở văn phòng,(35.945.052),-,-,(8.012.582.360),(8.048.527.412),-35945052.0,,,-8012582360.0,-8048527412.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,41.314.922.769,4.588.703.255,20.481.285.505,70.313.564.157,136.698.475.686,41314922769.0,4588703255.0,20481285505.0,70313564157.0,136698475686.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,119.423.333.965,46.893.909,1.120.883.396,3.480.305.887,124.071.417.157,119423333965.0,46893909.0,1120883396.0,3480305887.0,124071417157.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,116.459.886.873,-,1.298.778.494,35.138.905,117.793.804.272,116459886873.0,,1298778494.0,35138905.0,117793804272.0
