row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2018 > VND,01/06/2018 > VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2018 > VND,numeric__01/06/2018 > VND
300,300,300,C. NỘ PHẢI TRẢ,,519.119.772.258,1.580.659.425.705,,,519119772258.0,1580659425705.0
310,310,310,I. Nợ ngắn hạn,,314.875.759.304,1.344.980.796.843,,,314875759304.0,1344980796843.0
311,311,311,1. Phải trả người bán ngắn hạn,15,51.023.228.887,6.703.762.884,,15.0,51023228887.0,6703762884.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,17,6.347.430.755,10.163.992.633,,17.0,6347430755.0,10163992633.0
313,313,313,3: Thuế và các khoản phải nộp Nhà nước,16,10.369.375.649,983.438.466.450,,16.0,10369375649.0,983438466450.0
314,314,314,4. Phải trả người lao động,,28.772.159.388,22.826.035.773,,,28772159388.0,22826035773.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,18,5.787.565.190,34.665.282.376,,18.0,5787565190.0,34665282376.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,1.773.940.891,3.373.747.598,,,1773940891.0,3373747598.0
319,319,319,7. Phải trả ngắn hạn khác,19,107.840.505.806,195.089.135.475,,19.0,107840505806.0,195089135475.0
320,320,320,8. Vay và nợ thuê tài chính ngắn hạn,14,31.514.615.908,15.757.307.954,,14.0,31514615908.0,15757307954.0
322,322,322,9. Quỹ khen thưởng phúc lợi,,71.446.936.830,72.963.065.700,,,71446936830.0,72963065700.0
330,330,330,II. Nợ dài hạn,,204.244.012.954,235.678.628.862,,,204244012954.0,235678628862.0
337,337,337,1. Phải trả dài hạn khác,19,15.156.317.517,15.076.317.517,,19.0,15156317517.0,15076317517.0
338,338,338,2. Vay và nợ thuê tài chính dài hạn,14,189.087.695.437,220.602.311.345,,14.0,189087695437.0,220602311345.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,41.332.334.720.550,40.005.626.270.209,,,41332334720550.0,40005626270209.0
410,410,410,I. Vốn chủ sở hữu,20,41.332.334.720.550,40.005.626.270.209,,20.0,41332334720550.0,40005626270209.0
411,411,411,1. Vốn đầu tư của chủ sở hữu,,40.000.000.000.000,40.000.000.000.000,,,40000000000000.0,40000000000000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,40.000.000.000.000,40.000.000.000.000,,,40000000000000.0,40000000000000.0
412,412,412,2. Thặng dư vốn cổ phần,,5.587.206.442,5.587.206.442,,,5587206442.0,5587206442.0
417,417,417,3. Chênh lệch tỷ giá hối đoái,,-,39.063.767,,,,39063767.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,1.326.747.514.108,-,,,1326747514108.0,
421b,421b,421b,- LNST chưa phân phối kỳ này,,1.326.747.514.108,-,,,1326747514108.0,
440,440,440,TỔNG CỘNG NGUỒN VỐN,,41.851.454.492.808,41.586.285.695.914,,,41851454492808.0,41586285695914.0
