row_label_raw,row_label_full,"Số lượng cán bộ, nhân viên tại cuối năm (người)",Năm nay > 2.797,Năm trước > 3.587,numeric__Năm nay > 2.797,numeric__Năm trước > 3.587
Số lượng nhân viên bình quân (người),Số lượng nhân viên bình quân (người),Số lượng nhân viên bình quân (người),3.172,3.621,3172.0,3621.0
Thu nhập của nhân viên,Thu nhập của nhân viên,Thu nhập của nhân viên,Thu nhập của nhân viên,Thu nhập của nhân viên,,
Tổng quỹ lương,Thu nhập của nhân viên > Tổng quỹ lương,Tổng quỹ lương,958.758,947.643,958758.0,947643.0
Tiền thường,Thu nhập của nhân viên > Tiền thường,Tiền thường,145.575,87.348,145575.0,87348.0
Tổng thu nhập,Thu nhập của nhân viên > Tổng thu nhập,Tổng thu nhập,1.104.333,1.034.991,1104333.0,1034991.0
Tiền lương bình quân/tháng,Thu nhập của nhân viên > Tiền lương bình quân/tháng,Tiền lương bình quân/tháng,25,22,25.0,22.0
Thu nhập bình quân/tháng,Thu nhập của nhân viên > Thu nhập bình quân/tháng,Thu nhập bình quân/tháng,29,24,29.0,24.0
