row_label_raw,row_label_full,col_0,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 – 3 tháng,Từ 3 – 6 tháng,Từ 6 – 12 tháng,Từ 1 – 5 năm,Trên 5 năm,Cộng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 – 3 tháng,numeric__Từ 3 – 6 tháng,numeric__Từ 6 – 12 tháng,numeric__Từ 1 – 5 năm,numeric__Trên 5 năm,numeric__Cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,538.410,-,-,-,-,-,-,538.410,,538410.0,,,,,,,538410.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,4.207.486,-,-,-,-,-,4.207.486,,,4207486.0,,,,,,4207486.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,14.997.374,507.230,-,-,-,-,15.504.604,,,14997374.0,507230.0,,,,,15504604.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),2.078.249,-,4.398.566,8.757.328,9.354.532,17.886.754,16.240.335,2.716.145,61.431.909,2078249.0,,4398566.0,8757328.0,9354532.0,17886754.0,16240335.0,2716145.0,61431909.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,-,-,-,2.973.962,2.973.962,,,,,,,,2973962.0,2973962.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,500.000,-,-,-,-,-,-,500.000,,500000.0,,,,,,,500000.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,1.414.231,-,-,-,-,-,-,1.414.231,,1414231.0,,,,,,,1414231.0
Các tài sản Có khác (*),Tài sản > Các tài sản Có khác (*),Các tài sản Có khác (*),57.461,6.942.501,-,-,-,-,-,-,6.999.962,57461.0,6942501.0,,,,,,,6999962.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.135.710,9.395.142,23.603.426,9.264.558,9.354.532,17.886.754,16.240.335,5.690.107,93.570.564,2135710.0,9395142.0,23603426.0,9264558.0,9354532.0,17886754.0,16240335.0,5690107.0,93570564.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,-,-,14.610.205,507.080,-,-,7.601,661,15.125.547,,,14610205.0,507080.0,,,7601.0,661.0,15125547.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,15.810.254,18.004.175,19.388.892,10.086.886,470.363,927,63.761.497,,,15810254.0,18004175.0,19388892.0,10086886.0,470363.0,927.0,63761497.0
