row_label_raw,row_label_full,col_0,Miền Bắc > Năm nay,Miền Bắc > Năm trước,Miền Trung > Năm nay,Miền Trung > Năm trước,Miền Nam > Năm nay,Miền Nam > Năm trước,Điều chỉnh > Năm nay,Điều chỉnh > Năm trước,Cộng > Năm nay,Cộng > Năm trước,numeric__Miền Bắc > Năm nay,numeric__Miền Bắc > Năm trước,numeric__Miền Trung > Năm nay,numeric__Miền Trung > Năm trước,numeric__Miền Nam > Năm nay,numeric__Miền Nam > Năm trước,numeric__Điều chỉnh > Năm nay,numeric__Điều chỉnh > Năm trước,numeric__Cộng > Năm nay,numeric__Cộng > Năm trước
I. Thu nhập,I. Thu nhập,I. Thu nhập,1.461.648,1.081.059,1.238.088,969.713,7.816.600,6.712.268,(416.229),(406.962),10.100.107,8.356.078,1461648.0,1081059.0,1238088.0,969713.0,7816600.0,6712268.0,-416229.0,-406962.0,10100107.0,8356078.0
1. Thu nhập lãi,1. Thu nhập lãi,1. Thu nhập lãi,1.013.127,875.775,1.151.756,897.240,6.648.482,5.745.193,(416.229),(406.962),8.397.136,7.111.246,1013127.0,875775.0,1151756.0,897240.0,6648482.0,5745193.0,-416229.0,-406962.0,8397136.0,7111246.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,375.814,164.981,36.516,37.337,520.468,354.304,-,-,932.798,556.622,375814.0,164981.0,36516.0,37337.0,520468.0,354304.0,,,932798.0,556622.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,72.707,40.303,49.816,35.136,647.650,612.771,-,-,770.173,688.210,72707.0,40303.0,49816.0,35136.0,647650.0,612771.0,,,770173.0,688210.0
II. Chi phí,II. Chi phí,II. Chi phí,556.806,613.008,1.025.310,824.700,5.793.652,5.392.391,(416.229),(406.962),6.959.539,6.423.137,556806.0,613008.0,1025310.0,824700.0,5793652.0,5392391.0,-416229.0,-406962.0,6959539.0,6423137.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,412.433,487.975,801.475,626.589,3.848.151,3.230.659,(416.229),(406.962),4.645.830,3.938.261,412433.0,487975.0,801475.0,626589.0,3848151.0,3230659.0,-416229.0,-406962.0,4645830.0,3938261.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,1.115,831,8.420,7.374,68.877,73.200,-,-,78.412,81.405,1115.0,831.0,8420.0,7374.0,68877.0,73200.0,,,78412.0,81405.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,143.258,124.202,215.415,190.737,1.876.624,2.088.532,-,-,2.235.297,2.403.471,143258.0,124202.0,215415.0,190737.0,1876624.0,2088532.0,,,2235297.0,2403471.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,904.842,468.051,212.778,145.013,2.022.948,1.319.877,-,-,3.140.568,1.932.941,904842.0,468051.0,212778.0,145013.0,2022948.0,1319877.0,,,3140568.0,1932941.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,45.285,69.472,64.880,82.621,713.564,670.855,-,-,823.729,822.948,45285.0,69472.0,64880.0,82621.0,713564.0,670855.0,,,823729.0,822948.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,859.557,398.579,147.898,62.392,1.309.384,649.022,-,-,2.316.839,1.109.993,859557.0,398579.0,147898.0,62392.0,1309384.0,649022.0,,,2316839.0,1109993.0
