row_label_raw,row_label_full,Cam kết trong nghiệp vụ L/C – gộp,4.004.158,4.005.233,numeric__4.004.158,numeric__4.005.233
Bảo lãnh khác – gộp,Bảo lãnh khác – gộp,Bảo lãnh khác – gộp,1.718.919,4.129.036,1718919.0,4129036.0
Cộng,Cộng,Cộng,5.723.077,8.134.269,5723077.0,8134269.0
