row_label_raw,row_label_full,col_0,Vốn điều lệ,Cổ phiếu quỹ,Các quỹ của TCTD,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn điều lệ,numeric__Cổ phiếu quỹ,numeric__Các quỹ của TCTD,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.652.819,(34.200),464.700,1.646.834,5.730.153,3652819.0,-34200.0,464700.0,1646834.0,5730153.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,886.715,886.715,,,,886715.0,886715.0
Trích các quỹ dự trữ bắt buộc trong năm trước từ lợi nhuận sau thuế năm 2023,Trích các quỹ dự trữ bắt buộc trong năm trước từ lợi nhuận sau thuế năm 2023,Trích các quỹ dự trữ bắt buộc trong năm trước từ lợi nhuận sau thuế năm 2023,-,-,85.212,(85.212),-,,,85212.0,-85212.0,
"Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023","Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023","Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023",-,-,,(39.688),(39.688),,,,-39688.0,-39688.0
Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,-,-,,(1.299),(1.299),,,,-1299.0,-1299.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.652.819,(34.200),549.912,2.407.350,6.575.881,3652819.0,-34200.0,549912.0,2407350.0,6575881.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.652.819,(34.200),549.912,2.407.350,6.575.881,3652819.0,-34200.0,549912.0,2407350.0,6575881.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,1.852.522,1.852.522,,,,1852522.0,1852522.0
Tăng vốn từ lợi nhuận sau thuế chưa phân phối (i),Tăng vốn từ lợi nhuận sau thuế chưa phân phối (i),Tăng vốn từ lợi nhuận sau thuế chưa phân phối (i),2.168.886,-,-,(2.168.886),-,2168886.0,,,-2168886.0,
Trích các quỹ dự trữ bắt buộc trong năm nay từ lợi nhuận sau thuế năm 2024,Trích các quỹ dự trữ bắt buộc trong năm nay từ lợi nhuận sau thuế năm 2024,Trích các quỹ dự trữ bắt buộc trong năm nay từ lợi nhuận sau thuế năm 2024,-,-,176.470,(176.470),-,,,176470.0,-176470.0,
"Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024","Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024","Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024",-,-,-,(44.627),(44.627),,,,-44627.0,-44627.0
Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,-,-,-,(1.029),(1.029),,,,-1029.0,-1029.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.821.705,(34.200),726.382,1.868.860,8.382.747,5821705.0,-34200.0,726382.0,1868860.0,8382747.0
