row_label_raw,row_label_full,col_0,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh
Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,,,
Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,Báo cáo kết quả hoạt động riêng > Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-,22.565,22.565,,22565.0,22565.0
Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,Báo cáo kết quả hoạt động riêng > Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,25.608,(22.565),3.043,25608.0,-22565.0,3043.0
