row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm máy tính,Tài sản cố định khác,Cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm máy tính,numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,686.287,227.032,20.014,933.333,686287.0,227032.0,20014.0,933333.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,2.000,-,2.000,,2000.0,,2000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,686.287,229.032,20.014,935.333,686287.0,229032.0,20014.0,935333.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,-,77.671,17.568,95.239,,77671.0,17568.0,95239.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,14.163,108.646,18.695,141.504,14163.0,108646.0,18695.0,141504.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,1.840,20.629,1.022,23.491,1840.0,20629.0,1022.0,23491.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,16.003,129.275,19.717,164.995,16003.0,129275.0,19717.0,164995.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,672.124,118.386,1.319,791.829,672124.0,118386.0,1319.0,791829.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,670.284,99.757,297,770.338,670284.0,99757.0,297.0,770338.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,-,-,-,-,,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,-,,,,
