row_label_raw,row_label_full,Ngoại tệ,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
AUD,AUD,AUD,17.601,15.880,17601.0,15880.0
CAD,CAD,CAD,19.191,17.701,19191.0,17701.0
CHF,CHF,CHF,33.192,28.259,33192.0,28259.0
EUR,EUR,EUR,30.867,26.581,30867.0,26581.0
GBP,GBP,GBP,35.385,32.069,35385.0,32069.0
JPY,JPY,JPY,"168,40","161,51",168.4,161.51
KRW,KRW,KRW,"18,25","17,30",18.25,17.3
NZD,NZD,NZD,15.207,15.490,15207.0,15490.0
SGD,SGD,SGD,20.465,18.763,20465.0,18763.0
THB,THB,THB,836,749,836.0,749.0
USD,USD,USD,26.248,25.320,26248.0,25320.0
