row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Cộng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Cộng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,602.139,-,-,-,-,602.139,,,602139.0,,,,,602139.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,5.803.001,-,-,-,-,5.803.001,,,5803001.0,,,,,5803001.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,16.164.800,-,-,-,-,16.164.800,,,16164800.0,,,,,16164800.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.334.725,834.107,4.588.919,10.513.353,23.399.255,24.476.364,6.440.979,71.587.702,1334725.0,834107.0,4588919.0,10513353.0,23399255.0,24476364.0,6440979.0,71587702.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,224.532,-,-,-,-,224.532,,,224532.0,,,,,224532.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,-,-,3.013.321,3.013.321,,,,,,,3013321.0,3013321.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,500.000,500.000,,,,,,,500000.0,500000.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,608.482,47,3.060,38.725,731.403,1.381.717,,,608482.0,47.0,3060.0,38725.0,731403.0,1381717.0
Các tài sản Có khác (*),Tài sản > Các tài sản Có khác (*),Các tài sản Có khác (*),57.103,-,1.806.299,3.716.964,-,-,-,5.580.366,57103.0,,1806299.0,3716964.0,,,,5580366.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.391.828,834.107,29.798.172,14.230.364,23.402.315,24.515.089,10.685.703,104.857.578,1391828.0,834107.0,29798172.0,14230364.0,23402315.0,24515089.0,10685703.0,104857578.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,-,-,15.867.227,-,-,7.601,609,15.875.437,,,15867227.0,,,7601.0,609.0,15875437.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,18.190.108,15.441.131,23.638.781,14.927.009,6.979,72.204.008,,,18190108.0,15441131.0,23638781.0,14927009.0,6979.0,72204008.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,67.537,3.500.000,3.567.537,,,,,,67537.0,3500000.0,3567537.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.525.701,-,-,-,-,3.525.701,,,3525701.0,,,,,3525701.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,37.583.036,15.441.131,23.638.781,15.002.147,3.507.588,95.172.683,,,37583036.0,15441131.0,23638781.0,15002147.0,3507588.0,95172683.0
Chênh lệch thanh khoản ròng,Nợ phải trả > Chênh lệch thanh khoản ròng,Chênh lệch thanh khoản ròng,1.391.828,834.107,(7.784.864),(1.210.767),(236.466),9.512.942,7.178.115,9.684.895,1391828.0,834107.0,-7784864.0,-1210767.0,-236466.0,9512942.0,7178115.0,9684895.0
