row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
1.,1.,1.,Bảo lãnh vay vốn,VIII.4,5.600,-,,,5600.0,
2.,2.,2.,Cam kết giao dịch hối đoái,VIII.4,49.080.279,19.422.623,,,49080279.0,19422623.0
2.,2.,2.,Cam kết mua ngoại tệ,VIII.4,1.417.419,2.126.880,,,1417419.0,2126880.0
2.,2.,2.,Cam kết bán ngoại tệ,VIII.4,1.312.425,708.960,,,1312425.0,708960.0
2.,2.,2.,Cam kết giao dịch hoán đối,VIII.4,46.330.435,16.586.783,,,46330435.0,16586783.0
2.,2.,2.,Cam kết giao dịch tương lai,,-,-,,,,
3.,3.,3.,Cam kết cho vay không hủy ngang,,-,-,,,,
4.,3. > 4.,4.,Cam kết trong nghiệp vụ L/C,VIII.4,4.004.158,4.005.233,,,4004158.0,4005233.0
5.,3. > 5.,5.,Bảo lãnh khác,VIII.4,1.713.319,4.129.036,,,1713319.0,4129036.0
6.,6.,6.,Các cam kết khác,,-,-,,,,
7.,6. > 7.,7.,Lãi cho vay và phí phải thu chưa thu được,VIII.5,310.032,331.341,,,310032.0,331341.0
8.,6. > 8.,8.,Nợ khó đòi đã xử lý,VIII.6,3.088.589,2.585.844,,,3088589.0,2585844.0
9.,6. > 9.,9.,Tải sản và chứng từ khác,VIII.7,4.323.547,4.288.497,,,4323547.0,4288497.0
