row_label_raw,row_label_full,col_0,Số lượng,% vốnsố hữu,% quyềnbiểu quyết,31/12/2018 > Giá trị ghi số/giá gốc VND,31/12/2018 > Dự phòng VND,31/12/2018 > Giá trị hợp lý VND,31/12/2018 > Số lượng,1/1/2018 > % vốnsố hữu,1/1/2018 > % quyềnbiểu quyết,1/1/2018 > Giá trị ghi số/giá gốc VND,1/1/2018 > Dự phòng VND,1/1/2018 > Giá trị hợp lý VND,numeric__Số lượng,numeric__% vốnsố hữu,numeric__% quyềnbiểu quyết,numeric__31/12/2018 > Giá trị ghi số/giá gốc VND,numeric__31/12/2018 > Dự phòng VND,numeric__31/12/2018 > Giá trị hợp lý VND,numeric__31/12/2018 > Số lượng,numeric__1/1/2018 > % vốnsố hữu,numeric__1/1/2018 > % quyềnbiểu quyết,numeric__1/1/2018 > Giá trị ghi số/giá gốc VND,numeric__1/1/2018 > Dự phòng VND,numeric__1/1/2018 > Giá trị hợp lý VND
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,,,,,,
• Công ty Cổ phầnPhong điện ThuậnBình (i),Đầu tư vào công ty liên kết > • Công ty Cổ phầnPhong điện ThuậnBình (i),• Công ty Cổ phầnPhong điện ThuậnBình (i),3.267.920,20%,20%,39.637.821.208,-,(*),3.267.920,20%,20%,27.616.822.858,-,(*),3267920.0,0.2,0.2,39637821208.0,,,3267920.0,0.2,0.2,27616822858.0,,
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,,,,,
• Công ty Cổ phần Thủydiện A Vương,Đầu tư góp vốn vào các đơn vị khác > • Công ty Cổ phần Thủydiện A Vương,• Công ty Cổ phần Thủydiện A Vương,2.579.069,"3,3%","3,3%",24.560.000.000,-,78.661.604.500,2.579.069,"3,3%","3,3%",24.560.000.000,-,(*),2579069.0,0.033,0.033,24560000000.0,,78661604500.0,2579069.0,0.033,0.033,24560000000.0,,
• Công ty Cổ phần Thủydiện Sông Ba Hạ,Đầu tư góp vốn vào các đơn vị khác > • Công ty Cổ phần Thủydiện Sông Ba Hạ,• Công ty Cổ phần Thủydiện Sông Ba Hạ,1.280.000,1%,1%,12.800.000.000,-,33.280.000.000,1.280.000,1%,1%,12.800.000.000,-,(*),1280000.0,0.01,0.01,12800000000.0,,33280000000.0,1280000.0,0.01,0.01,12800000000.0,,
,,,,,,37.360.000.000,-,,,,,37.360.000.000,-,,,,,37360000000.0,,,,,,37360000000.0,,
,,,,,,76.997.821.208,-,,,,,64.976.822.858,-,,,,,76997821208.0,,,,,,64976822858.0,,
