row_label_raw,row_label_full,col_0,Giá trị giao dịch cho năm,Giá trị giao dịch cho năm_1,numeric__Giá trị giao dịch cho năm,numeric__Giá trị giao dịch cho năm_1
,,,2018VND,2017VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,
Mua điện,Tập đoàn Điện lực Việt Nam > Mua điện,Mua điện,2.186.893.067,2.083.140.586,2186893067.0,2083140586.0
Chi phí lãi vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay,Chi phí lãi vay,29.129.041.576,32.932.313.876,29129041576.0,32932313876.0
Khoản vay đã trả,Tập đoàn Điện lực Việt Nam > Khoản vay đã trả,Khoản vay đã trả,-,922.856.372.166,,922856372166.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,,
Lãi vay phải thu,Tổng Công ty Phát điện 1 > Lãi vay phải thu,Lãi vay phải thu,72.587.237.752,72.993.870.272,72587237752.0,72993870272.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,,
Góp vốn,Công ty Cổ phần Phong điện Thuận Bình > Góp vốn,Góp vốn,-,6.200.000.000,,6200000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Mua bán điện,Công ty Mua bán điện,Công ty Mua bán điện,Công ty Mua bán điện,Công ty Mua bán điện,,
Bán điện,Công ty Mua bán điện > Bán điện,Bán điện,2.325.221.494.075,1.576.312.192.426,2325221494075.0,1576312192426.0
Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,,
Bán điện,Tổng Công ty điện lực Miền Nam > Bán điện,Bán điện,61.562.650.912,71.277.065.404,61562650912.0,71277065404.0
Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,,
Vay,Công ty Tài chính Cổ phần Điện lực > Vay,Vay,370.667.570.895,300.689.098.246,370667570895.0,300689098246.0
Chi phí lãi vay,Công ty Tài chính Cổ phần Điện lực > Chi phí lãi vay,Chi phí lãi vay,7.170.325.458,3.234.787.141,7170325458.0,3234787141.0
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,,
Ứng trước hợp đồng xây dựng cơ bản,Công ty Cổ phần Tư vấn Xây dựng Điện 2 > Ứng trước hợp đồng xây dựng cơ bản,Ứng trước hợp đồng xây dựng cơ bản,3.129.529.074,1.652.211.901,3129529074.0,1652211901.0
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,,
Cung cấp dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Cung cấp dịch vụ,Cung cấp dịch vụ,679.448.632,327.289.751,679448632.0,327289751.0
Chi phí dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Chi phí dịch vụ,Chi phí dịch vụ,9.050.204.042,-,9050204042.0,
Công ty Cổ phần Tư vấn Xây dựng Điện 4,Công ty Cổ phần Tư vấn Xây dựng Điện 4,Công ty Cổ phần Tư vấn Xây dựng Điện 4,Công ty Cổ phần Tư vấn Xây dựng Điện 4,Công ty Cổ phần Tư vấn Xây dựng Điện 4,,
Chi phí dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 4 > Chi phí dịch vụ,Chi phí dịch vụ,1.113.716.872,3.253.597.805,1113716872.0,3253597805.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,,
Cổ tức được chia,Công ty Cổ phần Thủy điện A Vương > Cổ tức được chia,Cổ tức được chia,2.836.975.900,4.771.277.700,2836975900.0,4771277700.0
