row_label_raw,row_label_full,Tiền thu từ nhận vốn góp của cổ đông,Tiền thu từ nhận vốn góp của cổ đông_1,Tiền thu từ nhận vốn góp của cổ đông_2,Tiền thu từ nhận vốn góp của cổ đông_3,numeric__Tiền thu từ nhận vốn góp của cổ đông_1,numeric__Tiền thu từ nhận vốn góp của cổ đông_2,numeric__Tiền thu từ nhận vốn góp của cổ đông_3
không kiểm soát,không kiểm soát,không kiểm soát,31,3.967.500.000,6.935.500.000,31.0,3967500000.0,6935500000.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,420.321.891.861,405.823.885.387,33.0,420321891861.0,405823885387.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(4.226.313.202),(714.112.309.001),34.0,-4226313202.0,-714112309001.0
Tiền trả cổ tức cho cổ đông,Tiền trả cổ tức cho cổ đông,Tiền trả cổ tức cho cổ đông,36,(687.326.129.728),(349.406.129.728),36.0,-687326129728.0,-349406129728.0
Tiền trả cổ tức cho cổ đông không kiểm soát,Tiền trả cổ tức cho cổ đông không kiểm soát,Tiền trả cổ tức cho cổ đông không kiểm soát,36,(5.242.900.000),(2.967.760.000),36.0,-5242900000.0,-2967760000.0
Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,40,(272.505.951.069),(653.726.813.342),40.0,-272505951069.0,-653726813342.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,(247.327.676.519),402.608.507.799,50.0,-247327676519.0,402608507799.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,460.210.215.393,57.625.548.166,60.0,460210215393.0,57625548166.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,-,(23.840.572),61.0,,-23840572.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),70,4,212.882.538.874,70.0,4.0,212882538874.0
