row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,4.224.000.000.000,67.787.710.660,7.331.138.455,20.480.114.976,1.024.943.370.300,40.167.344.653,5.384.709.679.044,4224000000000.0,67787710660.0,7331138455.0,20480114976.0,1024943370300.0,40167344653.0,5384709679044.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,-,-,-,-,-,6.935.500.000,6.935.500.000,,,,,,6935500000.0,6935500000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,652.461.032.625,6.246.622.316,658.707.654.941,,,,,652461032625.0,6246622316.0,658707654941.0
Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),-,-,-,-,(422.400.000.000),(2.967.760.000),(425.367.760.000),,,,,-422400000000.0,-2967760000.0,-425367760000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,7.084.773.454,-,(7.084.773.454),-,-,-,,7084773454.0,,-7084773454.0,,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,31.056.822.837,(31.056.822.837),-,-,,,,31056822837.0,-31056822837.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.822.225.800),-,(18.822.225.800),,,,,-18822225800.0,,-18822225800.0
Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),-,-,(21.029.241.492),-,-,-,(21.029.241.492),,,-21029241492.0,,,,-21029241492.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,4.224.000.000.000,74.872.484.114,(13.698.103.037),44.452.164.359,1.205.125.354.288,50.381.706.969,5.585.133.606.693,4224000000000.0,74872484114.0,-13698103037.0,44452164359.0,1205125354288.0,50381706969.0,5585133606693.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,-,-,-,-,-,3.967.500.000,3.967.500.000,,,,,,3967500000.0,3967500000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.281.112.052.611,4.065.369.275,1.285.177.421.886,,,,,1281112052611.0,4065369275.0,1285177421886.0
Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),-,-,-,-,(760.320.000.000),(5.242.900.000),(765.562.900.000),,,,,-760320000000.0,-5242900000.0,-765562900000.0
Tạm ứng cổ tức (thuyết minh 23),Tạm ứng cổ tức (thuyết minh 23),Tạm ứng cổ tức (thuyết minh 23),-,-,-,-,(211.200.000.000),(2.400.000.000),(213.600.000.000),,,,,-211200000000.0,-2400000000.0,-213600000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,53.881.687.427,-,(53.881.687.427),-,-,-,,53881687427.0,,-53881687427.0,,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,15.100.000.000,(15.100.000.000),-,-,,,,15100000000.0,-15100000000.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.366.578.450),-,(18.366.578.450),,,,,-18366578450.0,,-18366578450.0
Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),-,-,(34.350.995.732),-,-,-,(34.350.995.732),,,-34350995732.0,,,,-34350995732.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,4.224.000.000.000,128.754.171.541,(48.049.098.769),5.670.476.932,1.481.250.828.449,50.771.676.244,5.842.398.054.397,4224000000000.0,128754171541.0,-48049098769.0,5670476932.0,1481250828449.0,50771676244.0,5842398054397.0
