row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2021 VND,2020 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2021 VND,numeric__2020 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,28,7.682.946.928.675,9.451.279.225.127,1.0,28.0,7682946928675.0,9451279225127.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,28,6.086.996.391,6.347.803.549,2.0,28.0,6086996391.0,6347803549.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,28,7.676.859.932.284,9.444.931.421.578,10.0,28.0,7676859932284.0,9444931421578.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,29,7.440.437.286.389,9.086.059.956.939,11.0,29.0,7440437286389.0,9086059956939.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),20,,236.422.645.895,358.871.464.639,20.0,,236422645895.0,358871464639.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,30,88.142.921.472,83.348.555.925,21.0,30.0,88142921472.0,83348555925.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,31,128.995.993.197,148.469.015.245,22.0,31.0,128995993197.0,148469015245.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,77.840.140.816,75.911.677.128,23.0,,77840140816.0,75911677128.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,32,323.094.461.734,326.372.734.544,25.0,32.0,323094461734.0,326372734544.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,33,189.335.611.605,206.116.513.323,26.0,33.0,189335611605.0,206116513323.0
Lỗ thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lỗ thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lỗ thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,(316.860.499.169),(238.738.242.548),30.0,,-316860499169.0,-238738242548.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,34,14.634.132.240,20.245.504.219,31.0,34.0,14634132240.0,20245504219.0
Chi phí khác,Chi phí khác,Chi phí khác,32,35,49.861.657.046,53.310.565.013,32.0,35.0,49861657046.0,53310565013.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,(35.227.524.806),(33.065.060.794),40.0,,-35227524806.0,-33065060794.0
Lỗ kế toán trước thuế (50 = 30 + 40),Lỗ kế toán trước thuế (50 = 30 + 40),Lỗ kế toán trước thuế (50 = 30 + 40),50,,(352.088.023.975),(271.803.303.342),50.0,,-352088023975.0,-271803303342.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,37,-,-,51.0,37.0,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,37,-,-,52.0,37.0,,
Lỗ thuần sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),Lỗ thuần sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),Lỗ thuần sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),60,,(352.088.023.975),(271.803.303.342),60.0,,-352088023975.0,-271803303342.0
