row_label_raw,row_label_full,col_0,31/12/2021Giá gốc/Số có khả năng trả nợVND,1/1/2021Giá gốc/Số có khả năng trả nợVND,numeric__31/12/2021Giá gốc/Số có khả năng trả nợVND,numeric__1/1/2021Giá gốc/Số có khả năng trả nợVND
Công ty TNHH Đa Năng,Công ty TNHH Đa Năng,Công ty TNHH Đa Năng,34.227.780.000,143.639.712.000,34227780000.0,143639712000.0
Công ty Cổ phần Sửa Việt Nam – Chi nhánh Cần Thơ,Công ty Cổ phần Sửa Việt Nam – Chi nhánh Cần Thơ,Công ty Cổ phần Sửa Việt Nam – Chi nhánh Cần Thơ,33.887.844.570,45.273.432.959,33887844570.0,45273432959.0
Val Win Trading,Val Win Trading,Val Win Trading,12.390.366.029,10.612.384.352,12390366029.0,10612384352.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,63.776.880.538,31.799.731.012,63776880538.0,31799731012.0
,,,144.282.871.137,231.325.260.323,144282871137.0,231325260323.0
