row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.429.346.728.545,1.700.948.116.259,155.902.568.953,42.046.265.184,11.033.724.411,4.339.277.403.352,2429346728545.0,1700948116259.0,155902568953.0,42046265184.0,11033724411.0,4339277403352.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,754.424.248,3.925.645.455,-,132.179.545,-,4.812.249.248,754424248.0,3925645455.0,,132179545.0,,4812249248.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,2.601.667.350,6.990.095.188,40.636.670,-,-,9.632.399.208,2601667350.0,6990095188.0,40636670.0,,,9632399208.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(9.606.532.538),(7.567.655.055),(9.341.801.082),(1.023.930.285),-,(27.539.918.960),-9606532538.0,-7567655055.0,-9341801082.0,-1023930285.0,,-27539918960.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(737.280.014),-,-,-,-,(737.280.014),-737280014.0,,,,,-737280014.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,490.212.272,(643.052.272),147.840.000,5.000.000,-,-,490212272.0,-643052272.0,147840000.0,5000000.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.422.849.219.863,1.703.653.149.575,146.749.244.541,41.159.514.444,11.033.724.411,4.325.444.852.834,2422849219863.0,1703653149575.0,146749244541.0,41159514444.0,11033724411.0,4325444852834.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.316.441.442.556,1.071.249.374.487,123.027.653.169,35.387.381.877,7.208.452.090,2.553.314.304.179,1316441442556.0,1071249374487.0,123027653169.0,35387381877.0,7208452090.0,2553314304179.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,102.881.712.641,105.490.881.921,10.039.788.282,1.955.296.289,411.568.305,220.779.247.438,102881712641.0,105490881921.0,10039788282.0,1955296289.0,411568305.0,220779247438.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(6.569.423.080),(5.929.884.095),(9.002.835.984),(950.508.692),-,(22.452.651.851),-6569423080.0,-5929884095.0,-9002835984.0,-950508692.0,,-22452651851.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(154.535.336),-,-,-,-,(154.535.336),-154535336.0,,,,,-154535336.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(65.500.926),228.402.228,(854.042.653),646.174.606,44.966.745,-,-65500926.0,228402228.0,-854042653.0,646174606.0,44966745.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.412.533.695.855,1.171.038.774.541,123.210.562.814,37.038.344.080,7.664.987.140,2.751.486.364.430,1412533695855.0,1171038774541.0,123210562814.0,37038344080.0,7664987140.0,2751486364430.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.112.905.285.989,629.698.741.772,32.874.915.784,6.658.883.307,3.825.272.321,1.785.963.099.173,1112905285989.0,629698741772.0,32874915784.0,6658883307.0,3825272321.0,1785963099173.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.010.315.524.008,532.614.375.034,23.538.681.727,4.121.170.364,3.368.737.271,1.573.958.488.404,1010315524008.0,532614375034.0,23538681727.0,4121170364.0,3368737271.0,1573958488404.0
