row_label_raw,row_label_full,col_0,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngàyquá hạn,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2021 > Giá gốcVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2021 > Dự phòngVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2021 > Giá trị cóthể thu hồiVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngàyquá hạn_1,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2021 > Giá gốcVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2021 > Dự phòngVND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2021 > Giá trị cóthể thu hồiVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngàyquá hạn,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2021 > Giá gốcVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2021 > Dự phòngVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2021 > Giá trị cóthể thu hồiVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngàyquá hạn_1,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2021 > Giá gốcVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2021 > Dự phòngVND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2021 > Giá trị cóthể thu hồiVND
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,,,,,
Công ty Cổ phần Tô Châu,Phải thu khác > Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Trên 5 năm,82.861.677.894,(82.861.677.894),-,Trên 5 năm,84.000.153.202,(84.000.153.202),-,,82861677894.0,-82861677894.0,,,84000153202.0,-84000153202.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,,,,,
Lương thực Hậu Giang,Công ty Cổ phần > Lương thực Hậu Giang,Lương thực Hậu Giang,Trên 5 năm,28.000.000.000,(28.000.000.000),-,Trên 5 năm,28.000.000.000,(28.000.000.000),-,,28000000000.0,-28000000000.0,,,28000000000.0,-28000000000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,,,,,
Lương thực Quảng Ngãi,Công ty Cổ phần > Lương thực Quảng Ngãi,Lương thực Quảng Ngãi,Trên 5 năm,3.586.838.953,(3.586.838.953),-,Trên 5 năm,3.586.838.953,(3.586.838.953),-,,3586838953.0,-3586838953.0,,,3586838953.0,-3586838953.0,
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,,,,,,,,,,,,,,,,
Chữ Tún,Doanh nghiệp tư nhân > Chữ Tún,Chữ Tún,Trên 5 năm,5.297.314.070,(5.297.314.070),-,Trên 5 năm,5.297.314.070,(5.297.314.070),-,,5297314070.0,-5297314070.0,,,5297314070.0,-5297314070.0,
Công ty TNHH Thương mại,Công ty TNHH Thương mại,Công ty TNHH Thương mại,,,,,,,,,,,,,,,,
Xuất nhập khẩu Hiệp Tài,Công ty TNHH Thương mại > Xuất nhập khẩu Hiệp Tài,Xuất nhập khẩu Hiệp Tài,Trên 5 năm,9.017.732.212,(9.017.732.212),-,Trên 5 năm,9.017.732.212,(9.017.732.212),-,,9017732212.0,-9017732212.0,,,9017732212.0,-9017732212.0,
Các khách hàng khác,Công ty TNHH Thương mại > Các khách hàng khác,Các khách hàng khác,Trên 5 năm,11.995.614.135,(11.995.614.135),,Trên 5 năm,8.786.863.806,(8.786.863.806),-,,11995614135.0,-11995614135.0,,,8786863806.0,-8786863806.0,
,,,,140.759.177.264,(140.759.177.264),-,,138.688.902.243,(138.688.902.243),-,,140759177264.0,-140759177264.0,,,138688902243.0,-138688902243.0,
