row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Vào ngày 31/12/2020,Nguyên giá: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,758.296.631.434,667.953.257.629,4.213.321.739,1.430.463.210.802,758296631434.0,667953257629.0,4213321739.0,1430463210802.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,8.308.112.375,456.000.000,8.764.112.375,,8308112375.0,456000000.0,8764112375.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,100.734.947.231,-,100.734.947.231,,100734947231.0,,100734947231.0
Vào ngày 31/12/2021,Nguyên giá: > Vào ngày 31/12/2021,Vào ngày 31/12/2021,758.296.631.434,776.996.317.235,4.669.321.739,1.539.962.270.408,758296631434.0,776996317235.0,4669321739.0,1539962270408.0
Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,,,,
Vào ngày 31/12/2020,Giá trị hao mòn luỹ kế: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,102.102.606.421,395.148.782.458,4.204.576.114,501.455.964.993,102102606421.0,395148782458.0,4204576114.0,501455964993.0
- Hao mòn trong năm,Giá trị hao mòn luỹ kế: > - Hao mòn trong năm,- Hao mòn trong năm,7.899.913.781,70.381.325.276,9.971.432,78.291.210.489,7899913781.0,70381325276.0,9971432.0,78291210489.0
Vào ngày 31/12/2021,Giá trị hao mòn luỹ kế: > Vào ngày 31/12/2021,Vào ngày 31/12/2021,110.002.520.202,465.530.107.734,4.214.547.546,579.747.175.482,110002520202.0,465530107734.0,4214547546.0,579747175482.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Vào ngày 31/12/2020,Giá trị còn lại: > Vào ngày 31/12/2020,Vào ngày 31/12/2020,656.194.025.013,272.804.475.171,8.745.625,929.007.245.809,656194025013.0,272804475171.0,8745625.0,929007245809.0
Vào ngày 31/12/2021,Giá trị còn lại: > Vào ngày 31/12/2021,Vào ngày 31/12/2021,648.294.111.232,311.466.209.501,454.774.193,960.215.094.926,648294111232.0,311466209501.0,454774193.0,960215094926.0
