row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Chưa quá hạn và không giảm giá trị,Quá hạn nhưng không giảm giá trị riêng lẻ,Bị giảm giá trị riêng lẻ (*),Đơn vị: triệu VND Tổng,numeric__Chưa quá hạn và không giảm giá trị,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ,numeric__Bị giảm giá trị riêng lẻ (*),numeric__Đơn vị: triệu VND Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,6.780.742,-,-,6.780.742,6780742.0,,,6780742.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,732.123,41.409,15.784,789.316,732123.0,41409.0,15784.0,789316.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,704.066,-,-,704.066,704066.0,,,704066.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,2.246.696,-,-,2.246.696,2246696.0,,,2246696.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,77.855,-,-,77.855,77855.0,,,77855.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",71.586,-,-,71.586,71586.0,,,71586.0
- Phải thu cổ tức,TÀI SẢN > - Phải thu cổ tức,- Phải thu cổ tức,6.269,-,-,6.269,6269.0,,,6269.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,121.507.403,-,-,121.507.403,121507403.0,,,121507403.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,85.165.335,-,-,85.165.335,85165335.0,,,85165335.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,36.342.068,-,-,36.342.068,36342068.0,,,36342068.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,365.575,-,-,365.575,365575.0,,,365575.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,365.575,-,-,365.575,365575.0,,,365575.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,4.608.567,802,1.286,4.610.655,4608567.0,802.0,1286.0,4610655.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,173.831,3.053,3.136,180.020,173831.0,3053.0,3136.0,180020.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,137.196.858,45.264,20.206,137.262.328,137196858.0,45264.0,20206.0,137262328.0
