row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021,Thay đổi biến (%) > Ngày 31 tháng 12 năm 2021,Thay đổi trách nhiệm bảo hiểm > Ngày 31 tháng 12 năm 2021,Đơn vị: triệu VNDẢnh hưởng đến nguồn vốn chủ sở hữu > Ngày 31 tháng 12 năm 2021,numeric__Thay đổi biến (%) > Ngày 31 tháng 12 năm 2021,numeric__Thay đổi trách nhiệm bảo hiểm > Ngày 31 tháng 12 năm 2021,numeric__Đơn vị: triệu VNDẢnh hưởng đến nguồn vốn chủ sở hữu > Ngày 31 tháng 12 năm 2021
Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"+0,25",(1.021.279),817.023,0.25,-1021279.0,817023.0
Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"-0,25",1.141.236,(912.989),-0.25,1141236.0,-912989.0
Tỷ lệ tử vong,Tỷ lệ tử vong,Tỷ lệ tử vong,+10,165.007,(132.006),10.0,165007.0,-132006.0
Tỷ lệ tử vong,Tỷ lệ tử vong,Tỷ lệ tử vong,-10,(162.760),130.208,-10.0,-162760.0,130208.0
Tỷ lệ tử vong,Tỷ lệ tử vong,Tỷ lệ tử vong,+20,335.192,(268.154),20.0,335192.0,-268154.0
Tỷ lệ tử vong,Tỷ lệ tử vong,Tỷ lệ tử vong,-20,(321.925),257.540,-20.0,-321925.0,257540.0
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,,,
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2020 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"+0,25",(1.110.687),888.550,0.25,-1110687.0,888550.0
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2020 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"-0,25",1.230.826,(984.661),-0.25,1230826.0,-984661.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2020 > Tỷ lệ tử vong,Tỷ lệ tử vong,+10,201.596,(161.277),10.0,201596.0,-161277.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2020 > Tỷ lệ tử vong,Tỷ lệ tử vong,-10,(198.934),159.147,-10.0,-198934.0,159147.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2020 > Tỷ lệ tử vong,Tỷ lệ tử vong,+20,409.519,(327.615),20.0,409519.0,-327615.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2020 > Tỷ lệ tử vong,Tỷ lệ tử vong,-20,(393.475),314.780,-20.0,-393475.0,314780.0
