row_label_raw,row_label_full,CHỈ TIÊU > Năm bồi thường,Năm tổn thất > 2017 > 1,Năm tổn thất > 2018 > 2,Năm tổn thất > 2019 > 3,Năm tổn thất > 2020 > 4,Năm tổn thất > 2021 > 5,Năm tổn thất > Tổng số > 6,numeric__Năm tổn thất > 2017 > 1,numeric__Năm tổn thất > 2018 > 2,numeric__Năm tổn thất > 2019 > 3,numeric__Năm tổn thất > 2020 > 4,numeric__Năm tổn thất > 2021 > 5,numeric__Năm tổn thất > Tổng số > 6
I. Số ước tính chỉ bồi thường lũy kế,I. Số ước tính chỉ bồi thường lũy kế,I. Số ước tính chỉ bồi thường lũy kế,,,,,,,,,,,,
1,I. Số ước tính chỉ bồi thường lũy kế > 1,1,2.954.365,4.034.625,3.751.268,2.116.986,3.113.602,-,2954365.0,4034625.0,3751268.0,2116986.0,3113602.0,
2,I. Số ước tính chỉ bồi thường lũy kế > 2,2,3.718.676,4.210.835,4.435.773,2.634.198,-,-,3718676.0,4210835.0,4435773.0,2634198.0,,
3,I. Số ước tính chỉ bồi thường lũy kế > 3,3,3.532.364,4.086.371,4.341.429,-,-,-,3532364.0,4086371.0,4341429.0,,,
4,I. Số ước tính chỉ bồi thường lũy kế > 4,4,3.379.411,4.051.678,-,-,-,-,3379411.0,4051678.0,,,,
5,I. Số ước tính chỉ bồi thường lũy kế > 5,5,3.501.057,-,-,-,-,-,3501057.0,,,,,
Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),I. Số ước tính chỉ bồi thường lũy kế > Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),3.501.057,4.051.678,4.341.429,2.634.198,3.113.602,17.641.964,3501057.0,4051678.0,4341429.0,2634198.0,3113602.0,17641964.0
II. Số đã chi trả bồi thường lũy kế,II. Số đã chi trả bồi thường lũy kế,II. Số đã chi trả bồi thường lũy kế,,,,,,,,,,,,
1,II. Số đã chi trả bồi thường lũy kế > 1,1,2.424.100,2.757.013,3.146.324,1.407.772,1.745.976,-,2424100.0,2757013.0,3146324.0,1407772.0,1745976.0,
2,II. Số đã chi trả bồi thường lũy kế > 2,2,3.294.708,3.811.575,3.720.755,2.004.568,-,-,3294708.0,3811575.0,3720755.0,2004568.0,,
3,II. Số đã chi trả bồi thường lũy kế > 3,3,3.415.379,3.929.080,3.908.577,-,-,-,3415379.0,3929080.0,3908577.0,,,
4,II. Số đã chi trả bồi thường lũy kế > 4,4,3.491.930,3.969.766,-,-,-,-,3491930.0,3969766.0,,,,
5,II. Số đã chi trả bồi thường lũy kế > 5,5,3.498.231,-,-,-,-,-,3498231.0,,,,,
Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),II. Số đã chi trả bồi thường lũy kế > Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),3.498.231,3.969.766,3.908.577,2.004.568,1.745.976,15.127.118,3498231.0,3969766.0,3908577.0,2004568.0,1745976.0,15127118.0
III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),II. Số đã chi trả bồi thường lũy kế > III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),2.826,81.912,432.852,629.630,1.367.626,2.514.846,2826.0,81912.0,432852.0,629630.0,1367626.0,2514846.0
IV. Uớc thâm hụt dự phòng bồi thường (4),II. Số đã chi trả bồi thường lũy kế > IV. Uớc thâm hụt dự phòng bồi thường (4),IV. Uớc thâm hụt dự phòng bồi thường (4),(546.692),(17.053),(590.161),(517.212),-,,-546692.0,-17053.0,-590161.0,-517212.0,,
V. Tỷ lệ % thâm hụt dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,II. Số đã chi trả bồi thường lũy kế > V. Tỷ lệ % thâm hụt dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,V. Tỷ lệ % thâm hụt dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,-16%,0%,-14%,-20%,0%,,-0.16,0.0,-0.14,-0.2,0.0,
