row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2020,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31/12/2021,numeric__Cho năm tài chính kết thúc ngày 31/12/2020
32,32,32,Chi khác hoạt động bảo hiểm gốc (32 = 33 + 34),,(4.725.543.333.449),(4.477.259.732.473),,,-4725543333449.0,-4477259732473.0
33,33,33,Chi hoa hồng,,(2.928.815.553.658),(3.094.850.217.854),,,-2928815553658.0,-3094850217854.0
34,34,34,Chi khác hoạt động kinh doanh bảo hiểm,29,(1.796.727.779.791),(1.382.409.514.619),,29.0,-1796727779791.0,-1382409514619.0
41,41,41,Tổng chi trực tiếp hoạt động kinh doanh bảo hiểm (41 = 29 + 30 + 31 + 32),,(36.224.784.437.014),(34.198.800.822.616),,,-36224784437014.0,-34198800822616.0
42,42,42,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm (42 = 15 + 41),,603.177.063.194,325.243.461.928,,,603177063194.0,325243461928.0
43.1,43.1,43.1,Doanh thu hoạt động khác,,750.298.675.797,433.287.152.651,,,750298675797.0,433287152651.0
43.2,43.2,43.2,Chi phí hoạt động khác,,(676.872.151.022),(417.934.268.486),,,-676872151022.0,-417934268486.0
43,43,43,Lãi từ các hoạt động khác (43 = 43.1 + 43.2),30,73.426.524.775,15.352.884.165,,30.0,73426524775.0,15352884165.0
44.1,44.1,44.1,Doanh thu hoạt động tài chính,31.1,8.911.612.242.924,9.495.658.687.333,,311.0,8911612242924.0,9495658687333.0
44.2,44.2,44.2,Chi phí hoạt động tài chính,31.2,(1.059.722.118.833),(1.841.912.602.607),,312.0,-1059722118833.0,-1841912602607.0
44,44,44,Lợi nhuận hoạt động tài chính (44 = 44.1 + 44.2),,7.851.890.124.091,7.653.746.084.726,,,7851890124091.0,7653746084726.0
45,45,45,"Phần lợi nhuận trong công ty liên kết, đơn vị kinh doanh đồng kiểm soát",14.3.1,92.993.746.827,70.011.972.612,,1431.0,92993746827.0,70011972612.0
46,46,46,Chi phí bán hàng,32,(2.266.015.074.428),(2.366.157.942.795),,32.0,-2266015074428.0,-2366157942795.0
47,47,47,Chi phí quản lý doanh nghiệp,33,(3.997.998.677.361),(3.756.517.474.608),,33.0,-3997998677361.0,-3756517474608.0
48.1,48.1,48.1,Thu nhập khác,,21.094.866.627,13.517.757.652,,,21094866627.0,13517757652.0
48.2,48.2,48.2,Chi phí khác,,(2.079.859.229),(1.910.935.621),,,-2079859229.0,-1910935621.0
48,48,48,Lợi nhuận khác (48 = 48.1 + 48.2),34,19.015.007.398,11.606.822.031,,34.0,19015007398.0,11606822031.0
50,50,50,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ (50 = 42 + 43 + 44 + 45 + 46 + 47 + 48),,2.376.488.714.496,1.953.285.808.059,,,2376488714496.0,1953285808059.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,16.1,(380.484.124.137),(267.396.475.068),,161.0,-380484124137.0,-267396475068.0
52,52,52,Thu nhập/(Chi phí) thuế thu nhập doanh nghiệp hoãn lại,16.2,7.414.599.023,(36.042.360.066),,162.0,7414599023.0,-36042360066.0
60,60,60,LỢI NHUẬN SAU THUẾ THU NHẬP DOANH NGHIỆP (60 = 50 + 51 + 52),,2.003.419.189.382,1.649.846.972.925,,,2003419189382.0,1649846972925.0
