row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2021 > Giá gốc,Ngày 31 tháng 12 năm 2021 > Giá trị thuần,Ngày 31 tháng 12 năm 2021 > Dự phòng,Ngày 31 tháng 12 năm 2020 > Giá gốc,Ngày 31 tháng 12 năm 2020 > Giá trị thuần,Ngày 31 tháng 12 năm 2020 > Dự phòng,numeric__Ngày 31 tháng 12 năm 2021 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị thuần,numeric__Ngày 31 tháng 12 năm 2021 > Dự phòng,numeric__Ngày 31 tháng 12 năm 2020 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2020 > Giá trị thuần,numeric__Ngày 31 tháng 12 năm 2020 > Dự phòng
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
Tổng Công ty Cổ phần Tải Bảo hiểm Quốc gia Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Cổ phần Tải Bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần Tải Bảo hiểm Quốc gia Việt Nam,265.979.803.260,265.979.803.260,-,265.979.803.260,209.912.000.000,(56.067.803.260),265979803260.0,265979803260.0,,265979803260.0,209912000000.0,-56067803260.0
Tổng Công ty Điện lực Đầu khí Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Điện lực Đầu khí Việt Nam,Tổng Công ty Điện lực Đầu khí Việt Nam,170.687.061.328,170.687.061.328,-,310.735.756.074,308.623.506.474,(2.112.249.600),170687061328.0,170687061328.0,,310735756074.0,308623506474.0,-2112249600.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,287.322.747.396,287.322.747.396,-,6.239.137.498,5.873.672.750,(365.464.748),287322747396.0,287322747396.0,,6239137498.0,5873672750.0,-365464748.0
Ngân hàng Thương mại Cổ phần Quản đội,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,163.483.737.210,163.483.737.210,-,318.830.560.512,318.830.560.512,-,163483737210.0,163483737210.0,,318830560512.0,318830560512.0,
Công ty Cổ phần Sửa Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Sửa Việt Nam,Công ty Cổ phần Sửa Việt Nam,209.763.212.610,207.395.691.958,(2.367.520.652),11.780.631.835,11.030.035.200,(750.596.635),209763212610.0,207395691958.0,-2367520652.0,11780631835.0,11030035200.0,-750596635.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,818.382.139.029,812.156.811.964,(6.225.327.065),650.233.807.399,598.815.799.303,(51.418.008.096),818382139029.0,812156811964.0,-6225327065.0,650233807399.0,598815799303.0,-51418008096.0
,,,1.915.618.700.833,1.907.025.853.116,(8.592.847.717),1.563.799.696.578,1.453.085.574.239,(110.714.122.339),1915618700833.0,1907025853116.0,-8592847717.0,1563799696578.0,1453085574239.0,-110714122339.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
Tổng Công ty MBLand,Cổ phiếu chưa niêm yết > Tổng Công ty MBLand,Tổng Công ty MBLand,28.800.000.000,5.040.000.000,(23.760.000.000),28.800.000.000,13.200.000.000,(15.600.000.000),28800000000.0,5040000000.0,-23760000000.0,28800000000.0,13200000000.0,-15600000000.0
