row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2020 > Giá trị VND,Ngày 31 tháng 12 năm 2020 > Số có khả năng trả nợ VND,Ngày 31 tháng 12 năm 2020 > Tăng VND,Ngày 31 tháng 12 năm 2020 > Giảm VND,Ngày 31 tháng 12 năm 2021 > Giá trị VND,Ngày 31 tháng 12 năm 2021 > Số có khả năng trả nợ VND,numeric__Ngày 31 tháng 12 năm 2020 > Giá trị VND,numeric__Ngày 31 tháng 12 năm 2020 > Số có khả năng trả nợ VND,numeric__Ngày 31 tháng 12 năm 2020 > Tăng VND,numeric__Ngày 31 tháng 12 năm 2020 > Giảm VND,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị VND,numeric__Ngày 31 tháng 12 năm 2021 > Số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay thầu chi ngân hàng,Vay ngắn hạn > Vay thầu chi ngân hàng,Vay thầu chi ngân hàng,-,-,5.955.867.787.212,(5.408.172.096.977),547.695.690.235,547.695.690.235,,,5955867787212.0,-5408172096977.0,547695690235.0,547695690235.0
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,895.634.463.715,895.634.463.715,7.388.630.989.789,(6.325.630.989.789),1.958.634.463.715,1.958.634.463.715,895634463715.0,895634463715.0,7388630989789.0,-6325630989789.0,1958634463715.0,1958634463715.0
,,,895.634.463.715,895.634.463.715,13.344.498.777.001,(11.733.803.086.766),2.506.330.153.950,2.506.330.153.950,895634463715.0,895634463715.0,13344498777001.0,-11733803086766.0,2506330153950.0,2506330153950.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,216.542.417.119,216.542.417.119,25.572.000.000,(74.848.328.343),167.266.088.776,167.266.088.776,216542417119.0,216542417119.0,25572000000.0,-74848328343.0,167266088776.0,167266088776.0
Trái phiếu phát hành (*),Vay dài hạn > Trái phiếu phát hành (*),Trái phiếu phát hành (*),100.000.000.000,100.000.000.000,100.000.000.000,(100.000.000.000),100.000.000.000,100.000.000.000,100000000000.0,100000000000.0,100000000000.0,-100000000000.0,100000000000.0,100000000000.0
,,,316.542.417.119,316.542.417.119,125.572.000.000,(174.848.328.343),267.266.088.776,267.266.088.776,316542417119.0,316542417119.0,125572000000.0,-174848328343.0,267266088776.0,267266088776.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.212.176.880.834,1.212.176.880.834,13.470.070.777.001,(11.908.651.415.109),2.773.596.242.726,2.773.596.242.726,1212176880834.0,1212176880834.0,13470070777001.0,-11908651415109.0,2773596242726.0,2773596242726.0
"Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm","Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm","Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm","Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm","Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm","Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm","Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm","Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm","Trong đó: Các khoản vay ngắn hạn và dài hạn tại các Ngân hàng thương mại có kỳ hạn từ dưới một (01) năm đến năm (05) năm và chịu lãi suất từ 3,70%/năm đến 7,50%/năm",,,,,,
