row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thăng dưvốn cổ phầnVND,Chênh lệchty giả hối đoáiVND,Quỹ đầu tưphát triển vàđư phòng tài chínhVND,Quỹ khác thuộc vốnchủ sở hữuVND,Lợi nhuậnsau thuếchưa phân phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thăng dưvốn cổ phầnVND,numeric__Chênh lệchty giả hối đoáiVND,numeric__Quỹ đầu tưphát triển vàđư phòng tài chínhVND,numeric__Quỹ khác thuộc vốnchủ sở hữuVND,numeric__Lợi nhuậnsau thuếchưa phân phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01 tháng 01năm 2020,Tại ngày 01 tháng 01năm 2020,Tại ngày 01 tháng 01năm 2020,7.423.227.640.000,7.310.458.742.807,15.445.192.000,801.321.408.999,103.568.802.818,3.037.187.232.453,476.227.833.633,735.171.665.904,19.902.608.518.614,7423227640000.0,7310458742807.0,15445192000.0,801321408999.0,103568802818.0,3037187232453.0,476227833633.0,735171665904.0,19902608518614.0
Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,-,-,-,-,-,(593.858.211.200),-,-,(593.858.211.200),,,,,,-593858211200.0,,,-593858211200.0
Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(89.588.815.986),-,(3.638.144.521),(93.226.960.507),,,,,,-89588815986.0,,-3638144521.0,-93226960507.0
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,-,-,(33.203.549.136),-,-,(33.203.549.136),,,,,,-33203549136.0,,,-33203549136.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(56.385.266.850),-,(3.638.144.521),(60.023.411.371),,,,,,-56385266850.0,,-3638144521.0,-60023411371.0
Trích quỹ phục vụ hoạtđồng Án sinh xã hội,Trích quỹ phục vụ hoạtđồng Án sinh xã hội,Trích quỹ phục vụ hoạtđồng Án sinh xã hội,-,-,-,-,-,(10.843.169.505),-,-,(10.843.169.505),,,,,,-10843169505.0,,,-10843169505.0
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,-,-,(10.843.169.505),-,-,(10.843.169.505),,,,,,-10843169505.0,,,-10843169505.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,157.888.424.020,-,(157.888.424.020),-,-,-,,,,157888424020.0,,-157888424020.0,,,
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,162.648.000.000,-,(162.648.000.000),-,-,-,,,,162648000000.0,,-162648000000.0,,,
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,(4.759.575.980),-,4.759.575.980,-,-,-,,,,-4759575980.0,,4759575980.0,,,
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,1.597.588.285.269,-,52.258.687.656,1.649.846.972.925,,,,,,1597588285269.0,,52258687656.0,1649846972925.0
Chi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Chi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Chi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,-,-,-,-,-,(3.036.636.015),-,-,(3.036.636.015),,,,,,-3036636015.0,,,-3036636015.0
Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,-,-,-,8.148.552.601,-,(55.444.625.802),47.296.073.201,-,-,,,,8148552601.0,,-55444625802.0,47296073201.0,,
Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,-,-,-,-,-,-,-,(28.918.952.000),(28.918.952.000),,,,,,,,-28918952000.0,-28918952000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(805.521.468),-,-,(805.521.468),,,,,,-805521468.0,,,-805521468.0
Tại ngày 31 tháng 12năm 2020,Tại ngày 31 tháng 12năm 2020,Tại ngày 31 tháng 12năm 2020,7.423.227.640.000,7.310.458.742.807,15.445.192.000,967.358.385.620,103.568.802.818,3.723.310.113.726,523.523.906.834,754.873.257.039,20.821.766.040.844,7423227640000.0,7310458742807.0,15445192000.0,967358385620.0,103568802818.0,3723310113726.0,523523906834.0,754873257039.0,20821766040844.0
