row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2021 > Giá gốc,Ngày 31 tháng 12 năm 2021 > Giá trị ghi sổ,Ngày 31 tháng 12 năm 2020 > Giá gốc,Ngày 31 tháng 12 năm 2020 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2021 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2020 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2020 > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),75.240.714.071.362,74.798.114.071.362,68.542.141.630.509,68.099.541.630.509,75240714071362.0,74798114071362.0,68542141630509.0,68099541630509.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,2.924.731.065.160,2.074.978.748.657,1.832.852.924.813,1.158.100.608.311,2924731065160.0,2074978748657.0,1832852924813.0,1158100608311.0
- Trái phiếu doanh nghiệp (iii),Ngắn hạn > - Trái phiếu doanh nghiệp (iii),- Trái phiếu doanh nghiệp (iii),2.924.731.065.160,2.074.978.748.657,1.724.395.245.470,1.049.642.928.968,2924731065160.0,2074978748657.0,1724395245470.0,1049642928968.0
- Trái phiếu Chính phủ (iv),Ngắn hạn > - Trái phiếu Chính phủ (iv),- Trái phiếu Chính phủ (iv),-,-,108.457.679.343,108.457.679.343,,,108457679343.0,108457679343.0
Tạm ứng từ giá trị hoàn lại (v),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (v),Tạm ứng từ giá trị hoàn lại (v),2.337.818.015.311,2.337.818.015.311,2.167.077.419.773,2.167.077.419.773,2337818015311.0,2337818015311.0,2167077419773.0,2167077419773.0
,,,80.503.263.151.833,79.210.910.835.330,72.542.071.975.095,71.424.719.658.593,80503263151833.0,79210910835330.0,72542071975095.0,71424719658593.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),12.505.120.574.205,12.505.120.574.205,14.119.017.923.547,14.119.017.923.547,12505120574205.0,12505120574205.0,14119017923547.0,14119017923547.0
Trái phiếu (iv),Dài hạn > Trái phiếu (iv),Trái phiếu (iv),50.903.263.727.990,50.903.263.727.990,33.952.842.736.982,33.952.842.736.982,50903263727990.0,50903263727990.0,33952842736982.0,33952842736982.0
